Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,SantoAntão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamentu,Palenquero,CaviteChabacano,TernateChabacano,ZamboangaChabacano,Karipuna,Guianese,Louisiana,Haitian,Guadeloupean,Martinican,SaintLucian,Mauritian,Réunionese,Seychellois
stab,"74,75%","75,46%","75,11%","60,13%",,"81,96%","41,94%",,"82,81%","62,01%","74,32%","82,97%","82,09%","82,17%",,,,"65,62%",,"81,96%",,,,,,"100,00%","100,00%","71,49%","78,04%","94,55%","62,88%","74,91%",,"27,58%"
stand,"43,26%","65,65%","93,48%","60,50%","60,11%","59,40%","63,46%","63,25%",,"63,84%","79,57%",,,,"62,83%",,"47,72%",,,"76,80%","28,86%","83,00%","82,49%","83,14%","93,27%","92,71%","94,11%","93,95%","91,88%","92,24%","67,17%","54,17%","54,53%","64,84%"
star,"79,32%","79,47%","79,20%","78,19%","92,93%","73,81%","94,46%","95,16%","71,05%","100,00%","94,48%","74,23%","74,93%","68,00%","46,47%","65,11%",,"100,00%",,"33,32%",,"97,35%","80,86%","96,41%","65,26%","66,07%","70,95%","52,34%","66,17%","63,10%","98,61%","65,23%","63,45%","68,08%"
stick,"97,02%","97,34%","96,65%","57,71%","92,80%","100,00%","49,15%","100,00%","46,25%","59,17%","100,00%","43,66%","43,93%","45,39%",,"59,60%","45,32%","46,36%","39,85%","99,96%","100,00%","93,21%","100,00%","27,53%","91,36%","91,68%","91,96%","91,62%","93,93%","100,00%","93,93%","91,69%",,"93,17%"
stone,"61,01%","60,85%","61,17%","72,30%","96,01%","91,89%","93,30%","93,21%","100,00%","93,22%","100,00%","91,78%","91,42%",,,,,"67,64%","62,64%","89,23%","93,36%","94,77%","67,45%","97,22%","71,02%","84,46%","100,00%","78,90%","77,21%","77,75%","62,33%","79,25%","96,29%","75,44%"
straight,"37,22%","26,90%","27,12%","56,21%","37,44%","64,33%",,,"93,59%","67,34%","65,62%","94,20%","93,53%","45,11%","62,87%","65,32%","65,20%","82,27%",,,,"99,55%","99,56%","98,73%","43,15%","51,11%","59,58%","56,83%","54,42%","54,62%","51,08%","54,19%",,"73,68%"
suck,"60,94%","77,02%","100,00%","75,02%","74,29%","78,51%","78,31%","78,31%","74,75%","56,28%","56,22%","74,31%","78,17%","75,26%","74,68%","75,20%","73,33%","77,87%","75,05%","78,11%",,"78,37%","78,51%","78,64%","90,63%","91,24%","96,47%","90,98%","97,71%","98,28%","90,22%","89,13%",,"97,29%"
sun,"100,00%","100,00%",,"69,81%","100,00%","97,08%","95,72%",,"93,93%","96,61%","93,77%","95,94%","95,05%","64,42%","66,71%","51,07%","62,48%","100,00%","97,63%","66,77%","60,57%","100,00%","100,00%","100,00%","94,54%","93,80%","93,51%","97,63%","96,80%","96,76%","100,00%","97,11%","97,42%","94,48%"
swell,"69,71%","65,30%","72,75%","62,32%","57,00%","75,51%",,,"68,14%","72,67%","72,74%","67,41%","66,82%","78,16%","78,07%","78,40%","78,33%","70,19%",,"78,26%",,"78,53%","68,34%","78,57%","87,13%","98,17%","98,18%","91,85%","91,15%","91,51%","91,62%","90,97%","92,05%","72,31%"
swim,"74,82%","74,67%","74,55%","74,36%",,"75,12%","75,07%","74,78%","69,70%","77,68%","73,12%","73,78%","69,87%","61,75%","39,02%","61,80%","61,96%",,"74,95%","59,32%",,"74,08%","73,84%","74,08%","100,00%","100,00%","100,00%","99,84%","99,38%","99,64%","99,42%","96,90%",,
tail,"65,24%","59,59%","66,97%","54,20%","88,72%","100,00%","100,00%","97,02%","95,96%","57,56%","57,15%","96,96%","96,99%","90,31%","90,91%","77,09%","87,89%",,"100,00%","96,93%","89,69%","100,00%","100,00%","100,00%","79,13%","61,31%","93,05%","95,85%","91,96%","92,41%","87,73%","97,59%","97,92%","97,92%"
that,"41,81%","70,78%","59,83%","42,17%","64,89%","26,87%","49,48%","86,21%","63,03%","52,84%","52,19%","64,21%","46,27%","27,68%","44,92%","27,19%",,"44,06%","64,32%","94,48%","71,26%","100,00%","39,88%","100,00%","100,00%","100,00%","100,00%","91,54%","100,00%","68,32%","85,45%","99,98%","100,00%","99,94%"
there,"90,70%","91,75%","91,76%","39,56%","93,38%","66,58%","93,09%","79,71%","47,42%","100,00%","100,00%","100,00%","100,00%","91,74%","92,90%","100,00%","100,00%","100,00%","100,00%","95,84%","94,36%","94,84%","82,33%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,33%","100,00%",,"100,00%"
they,"56,89%","28,97%","29,70%","72,59%","24,88%","35,83%","43,49%","79,23%","37,39%","40,64%","35,56%","38,82%","58,74%",,,,,"100,00%","66,41%",,,"86,62%","33,62%",,"32,21%","31,21%","31,41%","16,74%","16,22%","16,21%","16,52%","38,13%","55,76%","37,85%"
thick,"69,13%","68,95%","69,02%","75,66%","91,88%","98,50%","93,97%",,"62,27%","69,28%","69,23%","61,41%","100,00%","89,23%","61,32%","83,19%",,"62,00%","66,21%","98,13%","81,16%","100,00%","100,00%","100,00%","69,63%","100,00%","93,08%","92,72%","92,45%","93,27%","93,63%","96,65%",,"94,59%"
thin,"65,17%","59,66%","69,45%","99,86%","91,60%","100,00%","100,00%","88,67%","100,00%","69,69%","69,72%","100,00%","100,00%","76,50%","78,07%","100,00%","77,57%",,"95,50%","61,79%","38,59%","94,07%","98,03%","94,54%","81,10%","82,87%","96,38%","97,63%","100,00%","100,00%","100,00%","97,62%","81,67%","99,96%"
think,,"71,38%","78,21%","67,95%","68,65%","71,45%",,"69,21%","74,61%","74,46%","78,21%","74,05%","73,24%","75,96%","77,83%","77,79%","73,90%","76,99%",,"81,93%","81,93%","79,26%","81,96%","82,00%","79,23%","94,09%","96,79%","93,93%","99,38%","99,64%","64,96%","81,06%","81,39%","93,34%"
this,,"39,40%","40,78%","94,01%","93,74%","94,65%","58,63%","93,27%","44,64%","75,00%","59,48%","45,35%","33,69%","89,78%","85,99%",,,"52,46%","55,58%","74,97%","66,69%","93,48%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","41,01%","83,92%","90,34%","99,98%","100,00%","99,94%"
three,"80,48%","80,23%","79,88%","70,31%","66,80%","97,29%","99,95%","97,69%","94,69%","100,00%","100,00%","100,00%","94,01%","57,69%","33,01%","36,20%","33,85%","100,00%","96,66%","100,00%","100,00%","100,00%","100,00%",,"76,07%","78,02%","84,04%",,"78,85%","78,40%","78,85%","81,17%","86,23%","80,59%"
throw,"31,66%","31,85%","71,82%","57,43%",,"72,35%","78,11%","72,39%","44,46%","66,48%","33,46%","22,53%","21,94%","76,05%","68,89%","76,23%","73,96%","77,72%","78,26%","76,52%","72,91%","76,16%","77,55%","75,91%","92,01%",,"67,87%","98,50%","67,97%","92,30%","92,44%","91,03%",,"90,97%"
tie,"53,74%","53,21%","73,94%","55,62%","53,57%","59,52%","55,76%","57,03%","52,75%","62,25%","57,86%","53,02%","53,06%","53,11%","52,85%","59,13%","40,73%","56,07%",,"59,23%","54,73%","82,19%","58,15%","79,07%","58,62%","67,43%","89,91%","57,25%","88,34%","64,51%","99,26%","90,41%",,"83,91%"
tongue,"56,95%","56,80%","52,71%","60,41%","69,53%","59,75%","60,10%","62,37%","99,19%","74,26%","74,53%","100,00%","99,79%","58,87%","59,04%","76,68%","79,37%","100,00%",,"72,00%","99,67%","100,00%","100,00%","100,00%","74,65%","75,13%","93,44%","91,99%","91,93%","74,95%","87,53%","91,94%","91,91%","73,29%"
tooth,"65,12%","57,62%","67,40%","57,32%","73,48%","73,21%","71,14%","73,15%","100,00%","63,27%","69,78%","100,00%","100,00%","92,93%","71,03%","67,74%","84,94%","90,10%","67,54%","91,12%","93,25%","100,00%","100,00%","100,00%","84,57%",,"87,95%","86,94%","84,72%","84,85%","85,90%","88,00%","88,10%","86,16%"
tree,"15,99%","16,19%","16,33%","49,95%","51,52%","48,43%","46,97%","57,45%","55,89%","15,97%","15,61%","57,50%","57,82%","52,41%","67,73%","73,00%",,"94,68%","39,85%","99,96%","100,00%",,,,"100,00%","100,00%","100,00%","99,84%","99,36%","99,64%","98,91%","34,88%","38,71%","38,38%"
turn,"61,80%","72,99%","73,05%","73,58%","66,45%","71,39%","75,85%","74,77%","70,96%","21,08%","20,81%","73,59%","69,24%","62,96%","24,25%","24,71%","62,57%","72,12%","61,01%","76,68%","19,65%","77,63%","77,45%","76,63%","79,20%","89,62%","89,91%","67,46%","72,13%","71,94%","78,28%","87,99%","99,94%","86,82%"
two,"90,93%","90,57%","87,96%","58,88%","85,68%","85,30%","86,07%","85,54%","81,25%","90,99%","90,03%","87,33%","83,01%","55,64%","55,77%","57,89%","57,81%","85,47%","79,23%","85,64%","50,72%","100,00%","100,00%","100,00%","91,27%","92,80%","92,90%","94,72%","92,60%","92,74%","93,91%","95,08%","95,82%","91,79%"
vomit,"73,17%","67,12%",,"72,01%","49,45%","74,19%",,,"71,52%","46,50%","83,50%","80,12%","76,40%","70,71%","63,45%","73,72%","70,83%",,,"72,98%",,"83,16%","73,87%","74,22%","76,44%","66,87%","75,87%","76,69%","74,77%","74,69%","74,50%","74,52%",,"75,52%"
walk,"77,70%","77,94%","68,15%","46,61%","75,91%","62,02%","59,92%","78,63%","67,77%","63,18%","67,98%","58,96%","63,04%","63,36%","36,88%","36,95%","37,33%","60,91%","38,63%","49,77%","84,72%","84,78%","84,73%","84,81%","78,27%","78,30%","89,94%","78,35%","78,25%","78,28%","78,24%","88,51%","74,01%","73,72%"
warm,"65,46%","58,00%","67,90%","57,46%","73,62%","73,50%","71,26%","73,47%","100,00%","63,37%","69,95%","100,00%","100,00%","92,95%","93,00%","93,57%","89,78%","70,35%","66,01%","84,23%",,"82,24%","99,79%","83,22%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","95,11%","94,63%","95,28%"
wash,"71,01%","71,30%","71,17%","67,86%","65,60%","72,66%",,"70,59%","67,04%","77,77%","78,11%","66,94%","67,07%","72,05%","71,79%","73,77%","71,99%","66,92%","72,60%","76,02%","75,76%","76,03%","75,92%","75,85%","100,00%","100,00%","100,00%","99,84%","99,38%","99,64%","99,42%","99,26%","99,93%","99,27%"
water,"54,08%","54,00%","53,73%","45,65%","91,22%","77,35%","77,16%","79,21%","72,60%","94,37%","94,67%","72,44%","93,14%","94,02%","87,64%","94,32%","94,22%","52,68%","49,92%","71,17%","68,10%","96,80%","96,59%","96,85%","30,18%","29,69%","92,17%","30,00%","34,04%","33,15%","31,94%","93,98%","29,64%","86,65%"
we,"58,72%","100,00%","100,00%","65,81%","60,27%","89,44%","97,59%","97,61%","50,68%","88,26%","91,66%","95,95%","51,27%","50,11%","50,61%","52,31%","52,51%","91,93%","93,41%","95,69%","36,85%","40,61%","41,88%",,"100,00%","100,00%","83,84%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
wet,"71,30%","70,69%","76,31%","80,73%","78,10%","96,84%","95,43%","96,66%","92,65%","65,80%","65,78%","93,34%","93,35%","86,44%","72,12%","52,62%","57,08%","91,88%",,"51,93%",,"59,27%","59,50%","59,34%","84,06%","100,00%","51,87%","99,85%","56,54%","99,64%","99,76%","99,26%",,"96,13%"
what,"98,77%","100,00%","100,00%","99,73%","99,04%","100,00%","97,72%","98,90%","69,29%","89,32%","48,31%","70,29%","70,67%","60,14%","51,56%","60,10%","83,81%","87,70%","98,19%","47,83%","100,00%","100,00%","100,00%","100,00%","83,83%","91,30%","82,61%","83,31%","90,94%","91,00%","81,59%","83,76%","93,14%","83,53%"
when,"58,65%","52,79%","49,40%","39,19%","81,59%","61,26%","86,14%","73,37%","70,40%","47,66%","55,12%","100,00%","97,72%","51,47%","59,75%","40,47%","51,11%",,,"76,25%","88,87%","100,00%","100,00%","100,00%","88,00%","88,12%","88,20%","88,28%","61,64%","61,63%","70,40%","88,03%","88,18%","88,27%"
