Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,SantoAntão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamentu,Palenquero,CaviteChabacano,TernateChabacano,ZamboangaChabacano,Karipuna,Guianese,Louisiana,Haitian,Guadeloupean,Martinican,SaintLucian,Mauritian,Réunionese,Seychellois
big,"51,55%","52,04%","50,86%","54,68%","70,69%","70,14%","69,51%","70,85%","100,00%","55,11%","64,79%","96,00%","96,00%","73,73%","35,80%","70,22%","24,41%","31,43%","31,66%","99,97%","69,90%","100,00%","100,00%","100,00%","85,07%","78,54%","82,61%","76,11%","76,45%","76,46%","67,97%","76,31%","100,00%","76,78%"
bird,"42,54%","72,49%","80,75%","65,49%","64,99%","64,06%","69,69%","67,66%","60,99%","34,03%","32,92%","62,15%","62,08%","94,90%","62,76%","62,49%",,"70,40%","59,26%","48,19%","92,10%","88,89%","89,34%","89,34%","47,97%","47,46%","57,36%","53,78%","55,51%","55,26%","68,09%","48,15%","56,10%","48,83%"
bite,"79,09%","79,41%","79,13%","77,00%","78,46%","57,73%",,"78,46%","78,48%","80,69%","80,78%","80,49%","80,71%","62,84%","54,54%","63,24%","63,06%","78,70%","76,61%","80,20%","100,00%","63,26%","77,14%","67,40%","57,13%","52,78%","64,03%","56,84%","60,26%","54,26%","57,11%","43,10%","42,42%","52,23%"
black,"69,30%","68,82%","69,43%","72,64%","91,90%","97,98%","99,96%","98,27%","96,07%","69,36%","69,63%","100,00%","100,00%","90,23%","60,36%","62,01%","62,31%","96,52%","97,58%","100,00%","100,00%","100,00%","100,00%","100,00%","61,96%","62,15%","82,56%","62,62%","62,41%","62,12%","61,69%","84,54%","57,73%","56,86%"
blood,"49,98%","50,28%","52,16%","54,51%","69,69%","70,01%","52,84%","70,21%","98,60%","57,98%","64,85%","94,08%","94,01%","95,90%","98,09%","94,88%","91,97%","50,27%",,"58,30%",,"100,00%","100,00%","100,00%","87,51%","91,14%","88,12%","88,20%","88,17%","88,09%","88,08%","92,22%","88,19%","87,10%"
blow,"76,52%","76,62%","77,47%","71,27%","77,14%","74,59%","78,11%","78,12%","68,17%","74,05%","74,49%","69,19%","68,57%","71,42%",,"66,72%","64,80%","77,69%","76,76%","74,30%","67,58%",,"75,27%","75,84%","100,00%","100,00%","100,00%","99,84%","99,39%","99,64%","99,76%","99,25%",,"99,23%"
bone,"59,34%","59,03%","59,15%","69,64%","89,16%","100,00%",,"99,72%","100,00%","59,61%","59,07%","100,00%","100,00%","85,24%","88,57%","94,33%","85,76%","49,88%","48,28%","100,00%","96,97%","100,00%","100,00%","100,00%","22,82%",,"73,27%","23,96%","24,87%","24,77%","23,38%","73,72%","20,25%","73,17%"
breast,"45,47%","53,23%","53,48%","78,42%","71,59%","78,34%",,"90,14%","93,80%",,,"94,65%",,"77,73%",,,,"75,39%","74,34%","100,00%","100,00%","100,00%","100,00%","100,00%","68,21%","76,61%","94,20%",,"61,30%","61,97%","62,04%","66,18%","62,02%","63,02%"
breathe,,"45,21%",,,,"87,05%",,,"72,76%",,,,,,,,,"81,35%",,"83,86%",,"64,75%","78,01%",,,,"85,44%","99,84%","81,61%","82,23%","86,49%","85,66%",,"83,38%"
burn,"60,52%","60,19%","59,92%","57,87%","60,23%","63,89%","60,04%","61,08%","60,05%",,"63,56%","60,04%","59,30%","61,53%","58,85%","61,55%","61,27%","57,63%",,"60,24%","78,51%","75,10%","78,39%","75,44%","76,05%","76,97%","84,73%","75,76%","91,76%","92,39%","92,65%","91,82%","98,71%","91,68%"
child,"47,60%","47,70%","65,99%","40,75%","40,53%","63,94%","61,24%","94,47%","100,00%","61,62%","61,72%","100,00%","100,00%","95,41%","65,42%","95,04%","92,12%","96,63%","51,51%","59,88%",,"95,62%","66,22%",,"54,19%","91,38%","91,25%","55,98%","62,95%","59,79%","78,10%","51,18%","49,41%","85,81%"
cloud,,"61,54%","60,75%","68,40%",,"90,92%",,"94,10%","92,32%","80,49%","100,00%","89,32%","95,12%","86,62%","87,58%","87,65%",,"98,41%","93,48%","90,56%","97,03%","96,94%",,,"98,37%","41,39%","75,68%","98,38%","40,90%","41,79%","96,27%","96,71%","96,73%","96,69%"
cold,"96,07%","61,55%","61,90%","43,81%","98,67%","97,93%","98,40%","99,23%","100,00%","62,63%","100,00%","100,00%","98,90%","31,89%","49,30%","34,01%","35,67%","99,34%","99,77%","100,00%","45,85%","59,18%","58,72%","97,36%","90,84%","46,48%","70,97%","53,25%","49,11%","49,34%","53,45%","40,23%","84,02%","38,94%"
come,"56,36%","56,69%","56,54%","66,15%","56,57%","49,36%","54,38%","58,69%","92,19%","49,82%","39,57%","90,21%","90,14%","58,48%","57,76%","77,24%","58,38%","48,39%","49,26%","74,64%","68,40%","78,31%","74,16%","66,87%","42,15%","73,02%","72,32%","45,44%","73,07%","72,91%","73,05%","70,63%","36,29%","71,85%"
correct,"37,22%","26,90%","27,12%","41,40%",,"98,22%","99,22%","44,64%","97,84%","26,34%","42,53%","42,92%","42,26%","77,68%",,,,"98,28%",,"95,33%",,"92,40%",,"92,43%","91,98%","96,03%","69,19%","84,62%","68,37%","65,84%","69,71%","85,04%",,"68,88%"
count,"75,41%","70,42%","77,84%","56,60%","66,27%","72,21%","71,13%",,"74,53%","74,36%","78,21%","77,76%","77,97%","78,14%","73,54%","78,13%","75,94%","65,91%","63,03%","81,97%","59,88%","80,30%","81,89%","80,19%","64,41%","98,22%","98,23%","98,07%","99,38%","99,64%","99,75%","97,48%",,"99,26%"
cut,"80,59%","80,58%","80,70%","77,65%","78,28%","78,40%","80,99%","72,75%","78,08%","77,31%","77,92%","80,50%","80,68%","62,52%","63,41%","62,16%","62,52%","75,57%","78,72%","77,25%","67,68%","70,25%","81,17%","71,73%","100,00%","100,00%","100,00%","99,85%","99,38%","99,64%","99,75%","99,27%",,"99,28%"
day,"89,41%","90,11%","90,68%","22,31%","31,61%","95,74%","68,70%","95,91%","100,00%","100,00%","100,00%","95,90%","95,93%","70,48%","67,32%","68,37%","68,06%","100,00%","30,59%","100,00%","60,58%","100,00%","34,07%","100,00%","63,69%","63,33%","82,86%","63,89%","80,09%","79,97%","63,86%","82,59%","66,70%","74,37%"
die,"68,91%","74,85%","73,91%","70,20%","67,33%","78,46%","72,91%","71,10%","70,09%","15,36%","74,66%","75,73%","75,69%","69,65%","69,24%","19,04%","19,18%","68,73%","78,03%","72,74%","76,26%","75,27%","74,82%","74,21%","61,39%","70,20%","67,17%","67,69%","61,89%","61,22%","62,90%","82,50%","65,96%","64,35%"
dig,"71,14%","71,18%","76,23%","45,46%","45,01%",,,"42,53%","65,32%","77,68%","73,39%","67,33%","67,40%","58,39%",,"73,94%",,"64,66%","67,48%","63,97%","62,06%",,,,"100,00%","100,00%","100,00%","99,85%","99,39%","99,64%","99,76%","99,25%","97,53%","99,26%"
dirty,"65,39%","66,21%","65,39%","93,55%","86,19%","96,74%","97,55%","98,49%","88,06%","53,48%","60,69%","100,00%","100,00%","94,44%","90,80%","95,64%","89,77%","91,01%","92,91%","83,72%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,55%","99,98%","48,34%","99,96%"
dog,"90,19%","90,48%","90,66%","94,82%","73,67%","96,85%","95,06%","73,27%","73,06%","71,02%","70,09%","55,61%","67,37%","53,73%","56,86%","54,46%","53,41%","75,53%","72,65%","60,16%","90,35%","100,00%","75,28%","97,14%","84,07%","96,29%","96,23%","84,04%","100,00%","100,00%","100,00%","87,95%",,"89,61%"
drink,"78,11%","78,18%","78,23%","63,82%","77,49%","78,17%","78,12%","74,76%","75,08%","72,39%","73,19%","78,21%","78,12%","78,04%","57,89%","77,86%","78,09%","96,59%","78,04%","78,11%","75,78%","76,19%","75,47%","76,09%","62,59%","62,57%","53,66%","62,65%","63,15%","62,95%","61,43%","75,71%",,"48,32%"
dry,"69,60%","69,50%","69,92%","73,10%","87,21%","99,52%","99,96%","98,28%","96,11%","65,03%","69,78%","95,19%","100,00%","97,90%","99,68%","99,33%","91,62%","96,54%","99,09%","100,00%",,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","90,03%","83,89%","83,62%","83,54%","97,63%","100,00%","95,53%"
dull,"65,03%","72,89%",,,"79,26%",,,,"100,00%","68,84%","69,51%","99,46%","100,00%",,,,,,,"62,76%",,"100,00%",,,"53,79%",,"70,25%","99,90%",,,"99,61%","98,98%",,
dust,,"59,52%",,"100,00%",,"96,38%",,"96,46%","100,00%","94,88%","100,00%","75,70%","75,77%","91,15%","91,39%","90,66%","86,66%","59,62%",,,,"74,30%",,"77,57%","82,15%","84,34%","71,80%","69,33%","66,26%","77,94%","78,01%","92,52%","70,31%","85,68%"
ear,"57,66%","73,59%","54,86%","67,70%","53,22%","63,31%","86,21%","81,87%","86,58%","46,59%","45,46%","80,28%","82,03%","47,23%","40,30%","37,15%","42,83%","89,81%","66,37%","46,17%","80,63%","90,75%","90,54%","90,42%","31,99%","56,73%","55,73%","55,44%","55,45%","55,27%","57,94%","56,43%","62,30%","54,79%"
earth,"64,01%","64,78%","65,59%","70,11%",,"93,49%","93,87%","45,45%","96,97%","99,37%","100,00%","96,36%","96,72%","89,22%","85,27%","41,78%","48,29%","100,00%","50,44%","90,56%","90,22%","100,00%","75,03%","97,09%","78,03%","86,02%","82,69%","78,15%","77,99%","77,94%","77,85%","89,57%","65,99%","79,73%"
eat,"76,73%","76,88%","76,53%","72,76%","75,22%","74,57%","73,44%","70,60%","78,01%","20,02%","19,70%","78,36%","78,21%","75,56%","74,56%","75,52%","26,13%","75,75%","78,06%","78,13%","73,86%","72,68%","75,66%","75,78%","94,06%","94,09%","94,05%","93,94%","93,38%","93,71%","93,80%","90,94%","91,62%","91,01%"
egg,"52,42%","52,66%","52,85%","43,92%","82,97%","94,97%","98,25%","94,33%","90,08%","59,20%","59,18%","93,55%","93,50%","94,43%","95,04%","93,60%","94,81%","98,31%","66,89%","96,71%","93,98%","97,49%","72,52%","97,32%","63,65%","67,71%","98,92%","20,96%","22,73%","22,34%","23,93%","91,63%","46,96%","86,21%"
eye,"52,85%","58,82%","48,77%","44,01%","48,90%","93,64%","90,68%","84,98%","86,62%","54,22%","53,19%","86,73%","86,62%","30,59%","31,21%","30,09%","30,56%","79,77%","56,12%","54,86%","87,17%","90,32%","90,33%","90,36%","55,94%","54,55%","17,28%","15,58%","16,44%","16,70%","16,84%","66,34%","17,88%","63,48%"
fall,"60,39%","60,03%","60,65%","64,68%","67,68%","65,66%","67,30%","65,65%","63,33%","67,24%","59,39%","60,91%","60,58%","37,69%","50,62%","38,97%","36,86%","67,55%","56,39%","65,71%","50,53%","98,31%","66,24%","97,35%","97,37%","98,21%","98,21%","98,04%","99,38%","99,63%","99,75%","97,45%","96,54%","61,05%"
far,"55,06%","56,89%","58,54%","53,29%","70,08%","71,10%",,"72,06%","100,00%","60,68%","69,34%","100,00%","100,00%","97,14%","94,83%","98,31%","96,34%","86,12%","60,40%","41,81%","68,31%","92,33%","92,39%","92,31%","96,20%","96,29%","96,13%","96,20%","100,00%","100,00%","100,00%","96,21%","100,00%","100,00%"
fat,,"76,31%",,"93,60%",,"78,98%","93,85%","97,34%","93,71%","95,36%","100,00%","97,13%","93,74%","73,73%","71,69%","77,52%","73,79%","97,53%","62,99%","100,00%",,"100,00%","100,00%","90,33%","90,31%","91,70%","94,59%","89,96%","88,41%","88,36%","94,27%","94,05%","100,00%","92,76%"
father,"97,41%","98,16%","97,45%","67,53%","98,19%","97,01%","96,77%","96,45%","92,49%","56,27%","100,00%","98,35%","97,95%","93,85%","94,75%","93,74%",,"89,06%","90,05%",,,,,,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,32%","100,00%","100,00%","100,00%"
fear,"69,67%","69,47%",,"71,43%",,"94,65%",,,"100,00%","64,81%","69,73%","87,00%","100,00%","92,73%","93,93%","92,65%","92,61%","100,00%",,"63,80%",,,"89,60%",,"58,76%","59,65%","80,97%","62,15%","61,42%","61,57%","23,97%","79,24%",,"63,30%"
feather,"64,17%","64,12%","63,86%","69,40%","92,58%","94,78%","95,94%","80,60%","90,80%","93,41%","100,00%","95,10%","99,79%","95,47%","91,74%","98,90%","98,82%",,,"99,96%",,"100,00%",,"100,00%","91,92%","96,09%","64,08%","95,29%","97,74%","98,17%","96,22%","97,67%","98,38%","48,57%"
few,"53,66%","53,24%","53,76%","76,69%","51,94%","57,06%",,,"77,97%","53,43%","52,34%","78,12%","74,62%",,,,,"77,91%","78,96%","100,00%","100,00%","100,00%","100,00%","100,00%","56,53%","60,06%","90,93%","84,41%","52,46%","49,83%","95,81%","95,92%","94,42%","95,86%"
fight,"76,63%","76,95%","69,47%","62,68%",,"77,03%","76,90%",,"74,61%","75,94%","43,99%","77,98%","78,04%","78,16%","46,89%","78,15%",,"74,11%","48,84%","91,07%","76,65%","66,69%","67,75%","65,95%",,"97,11%","76,45%","72,74%","71,89%","71,61%","72,50%","89,39%",,"99,50%"
fingernail,,,,"93,44%",,"93,68%",,"93,03%","100,00%",,"100,00%",,,"74,39%","92,46%",,"74,76%","100,00%","64,70%","69,33%",,"93,15%","56,15%",,"31,54%","28,36%","34,29%",,"28,44%","28,59%","13,86%","29,47%",,"90,59%"
fire,"69,33%","69,65%",,"58,60%","91,92%","100,00%","99,89%","99,15%","100,00%","67,18%","67,90%","100,00%","100,00%","94,54%","76,63%","100,00%","94,33%","95,23%","94,71%","99,95%","76,67%","94,71%","94,53%","94,70%","90,81%","92,80%","92,91%","93,90%","90,23%","90,38%","94,17%","95,82%","95,81%","91,04%"
fish,"51,20%","51,65%","51,45%","75,52%","77,50%","76,10%","72,92%",,"77,70%","53,26%","53,38%","78,01%","75,57%","73,98%","74,94%","77,80%",,"44,67%","45,54%","64,10%","65,21%","72,15%","72,71%","70,27%","97,82%","72,84%","98,83%","91,30%","96,25%","90,04%","90,87%","70,18%","98,15%","97,73%"
five,"55,28%","55,59%","70,02%","57,58%","68,38%","74,05%","74,64%","75,11%","100,00%","63,08%","69,96%","100,00%","100,00%","95,52%","94,51%","94,63%",,"100,00%","73,24%","93,05%","91,11%","100,00%","100,00%","100,00%","97,61%","97,62%","97,61%","97,63%","100,00%","100,00%","100,00%","97,62%",,"99,96%"
float,,"74,67%",,"74,36%","11,21%","76,40%",,,"75,75%","75,78%","76,13%","76,72%","76,42%","74,54%","74,31%","73,96%","75,09%",,"71,84%",,,,,,"97,65%","97,54%","97,12%","97,72%","95,36%","96,01%","95,78%","97,47%",,"95,71%"
flow,,"71,15%","71,19%",,,"78,47%",,,"70,84%","17,20%","74,66%","71,21%","71,29%",,,,,,,"75,57%",,,,,"100,00%","100,00%","100,00%","99,85%","99,38%","99,64%","99,76%","99,26%","99,93%","99,28%"
flower,"59,97%","97,72%","96,77%","23,44%","35,04%","94,72%","33,55%","33,38%","91,45%","98,12%","100,00%","96,59%","96,17%","49,53%","41,06%","26,69%","37,49%","90,66%","90,95%","96,91%","62,42%","97,68%","44,52%","92,96%","90,32%","81,03%","59,75%","61,85%","61,52%","61,44%","58,33%","79,05%",,"62,61%"
fly(v.),"46,12%","59,09%","40,87%","15,62%","53,90%","71,12%","49,26%","50,36%","27,70%","52,15%","52,92%","50,06%","59,43%","62,81%","62,47%","62,85%",,"33,09%","23,80%","74,65%",,"76,10%","75,62%","75,75%","97,70%",,"97,15%","97,72%","95,37%","96,00%","95,81%","93,19%","96,76%","95,79%"
fog,"78,29%","76,24%","37,09%","51,85%",,,,,"92,32%","61,25%","61,22%","87,03%","85,85%","73,01%",,"62,42%",,"76,14%",,"50,71%",,,,,"93,95%",,"84,72%","73,10%","74,53%","74,31%","75,54%","86,25%",,"71,28%"
foot,"91,64%","92,40%","90,37%","56,64%","100,00%","57,29%","94,91%","58,44%","100,00%","93,91%","91,27%","94,43%","93,05%","91,15%","91,39%","90,70%","91,14%","100,00%","96,44%","19,65%","100,00%","58,15%","58,15%","59,02%","100,00%","100,00%","100,00%","99,68%","69,28%","99,27%","99,50%","78,23%","99,85%","90,79%"
forest,,,,"100,00%",,"100,00%",,"100,00%","98,98%","17,72%",,,,,,"100,00%",,"100,00%","100,00%","99,96%","95,75%",,,"100,00%","92,27%",,"100,00%",,"87,79%","87,78%","90,85%","91,24%","95,28%","84,18%"
four,"55,60%","35,87%","41,14%","93,28%","85,03%","87,21%","92,85%","40,18%","86,59%","54,61%","54,53%","86,64%","100,00%","93,92%","45,53%","90,24%",,"95,28%","65,09%","54,38%","100,00%","100,00%","100,00%",,"76,77%","77,16%","76,81%","76,18%","72,60%","72,50%","72,60%","77,17%","76,43%","78,37%"
freeze,,"73,75%","73,59%",,,,,,"86,49%","44,23%","44,43%","86,75%","83,13%",,,,,,,,,"72,57%",,,"76,76%","98,58%","66,52%","99,69%","99,38%","99,64%","93,00%","75,22%",,
fruit,"55,58%","66,48%","40,52%","48,84%","92,72%","93,76%","95,97%","94,96%","100,00%","97,32%","100,00%","94,67%","94,99%","87,63%","49,55%","81,51%",,"100,00%","93,39%","99,96%","100,00%","98,02%","98,42%","73,81%","88,98%","46,37%","81,42%","89,17%","89,23%","89,15%","89,24%","41,31%",,"42,47%"
full,"73,03%","69,28%","67,52%","77,77%","68,03%","30,14%","78,04%","45,99%","98,65%","64,24%","64,55%","98,76%","61,56%","31,05%","32,21%","72,78%","27,22%","65,11%","38,65%","64,22%",,"96,07%","97,02%","94,23%","96,35%","96,35%","96,32%",,"100,00%","100,00%","100,00%","96,36%","100,00%","100,00%"
give,"63,66%","63,41%","63,22%","58,65%","62,46%","63,56%","63,36%","63,17%","57,53%","63,11%","63,40%","56,37%","63,18%","64,24%","63,93%","64,33%","64,36%","62,68%","63,44%","74,31%","53,67%","100,00%","100,00%","100,00%","66,63%","37,36%","91,42%","37,52%","38,08%","37,59%","66,41%","97,46%","96,77%","93,76%"
good,,"98,88%","100,00%","33,65%","94,01%","55,54%","54,42%","56,07%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","96,26%","100,00%","92,72%","61,20%","96,07%","100,00%","100,00%","100,00%","100,00%","100,00%","94,74%","96,38%","96,39%","96,33%","100,00%","100,00%","100,00%","46,81%","99,44%","100,00%"
grass,"64,44%","69,36%","30,50%","66,85%","92,61%","53,11%",,"86,85%","88,94%","57,21%","94,47%","92,12%","91,08%","53,75%","67,93%","58,50%","76,74%","98,20%","86,26%","94,67%",,"100,00%","100,00%","100,00%","37,06%","43,83%","91,36%","39,56%","43,92%","43,25%","42,70%","86,24%",,"59,19%"
green,"34,37%","35,40%","40,12%","75,74%",,"68,30%","95,33%","92,98%","94,72%","44,26%","44,66%","94,14%","95,88%","72,41%","71,51%","73,36%",,"94,82%","86,70%","88,70%","99,34%","94,85%","94,40%","85,67%","41,32%","85,89%","82,77%","60,42%","62,96%","62,64%","60,88%","82,60%","65,84%","65,75%"
guts,"62,66%","69,03%","68,63%","95,17%","96,85%",,"94,82%","94,45%","100,00%","75,84%","76,03%","100,00%","99,79%","87,73%","60,58%","81,17%",,"76,07%",,"99,96%","100,00%","72,49%",,"75,59%","86,74%","91,80%","94,07%","90,64%","59,50%","59,39%","73,82%","90,17%","98,35%","11,77%"
hair,"77,03%","73,60%","77,15%","71,12%","89,50%","96,27%","97,30%","95,55%","100,00%","74,79%","79,81%","77,48%","96,68%","95,80%","92,29%","92,92%","95,95%","94,28%","96,16%","74,44%","71,15%","100,00%","100,00%","100,00%","89,49%","87,80%","69,11%","89,52%","88,80%","88,95%","88,75%","89,34%","88,89%","89,68%"
hand,"90,19%","90,54%","90,65%","64,29%","53,51%","82,76%","81,25%","85,09%","88,88%","100,00%","100,00%","100,00%","100,00%","100,00%","41,98%","45,21%","92,75%","100,00%","55,97%","32,34%","100,00%","100,00%","100,00%","100,00%","98,22%","98,22%","98,21%","96,45%","93,40%","93,56%","93,95%","98,23%","100,00%","100,00%"
he,"56,66%","50,11%","57,23%","99,81%","99,34%","98,81%","94,34%","96,99%","16,10%","59,51%","59,62%","18,09%","49,70%","93,26%","100,00%","100,00%","93,54%","46,77%","46,50%","36,90%","41,15%","53,89%","55,23%","53,45%","82,91%","40,11%","83,20%","84,05%","40,11%","39,68%","83,96%","83,71%","83,31%","40,09%"
head,"76,73%","76,69%","76,74%","87,38%","95,16%","93,39%","94,59%","92,26%","97,39%","87,62%","96,66%","96,73%","93,98%","94,36%","88,69%","87,37%",,"96,67%","90,41%","77,44%","99,56%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","98,90%","99,98%","99,43%","100,00%","98,58%","100,00%","97,30%"
hear,"51,38%","47,48%","48,05%","56,99%","0,00%","48,01%","49,72%","51,96%","52,50%","50,96%","50,65%","52,49%","48,60%","61,52%","60,87%","61,55%","39,17%","51,68%","43,75%","53,66%","50,07%","42,40%","19,73%","42,73%","44,70%","45,93%","100,00%","45,50%","44,45%","44,65%","44,41%","45,36%","41,89%","22,62%"
heart,"77,19%","89,81%","90,38%","66,12%","57,70%","70,65%","86,56%","88,15%","98,16%","48,28%","72,39%","89,48%","94,75%","48,48%","61,21%","52,60%","54,52%","98,54%","64,61%","95,65%","73,85%","93,47%","93,73%","93,69%","37,27%","38,17%","80,98%","62,17%","53,54%","53,85%","44,51%","82,85%","61,22%","74,84%"
heavy,"78,67%","79,80%","79,91%","82,22%","78,58%","99,67%",,,"94,14%","66,42%","66,42%","96,25%","96,27%",,"96,74%",,,"96,54%","94,80%","59,13%",,"64,68%","64,63%","58,81%","87,07%","63,50%","83,08%","63,79%","63,88%","63,88%","63,80%","84,99%",,"71,47%"
here,"90,77%","59,60%","91,83%","64,93%","91,03%","67,07%","93,11%","92,68%","60,46%","22,57%","61,08%","60,92%","61,21%","30,42%","25,08%","100,00%",,"60,79%","60,08%","99,94%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","72,15%","71,11%","100,00%","90,62%","100,00%","99,98%","100,00%","99,96%"
hit,"62,89%","74,58%","74,61%","62,90%",,"95,20%",,"88,42%",,,"53,51%","74,12%","74,73%","74,63%","74,30%","74,41%","74,64%",,,"74,60%","67,62%","69,51%","69,38%","72,88%","76,84%","76,96%","93,72%","65,10%",,,"93,90%","56,22%","38,53%","64,51%"
hold,"30,83%","76,95%","76,47%","73,75%","65,35%","81,49%","78,18%",,"74,83%","15,00%","60,39%","61,49%","78,11%",,"68,96%","53,47%","51,89%","80,32%",,"77,97%","75,67%","61,21%","69,49%","82,09%","50,21%","43,67%","80,85%","64,77%","71,57%","71,58%","71,76%","70,64%","92,19%","76,03%"
horn,,,"49,20%","98,07%",,,,"97,88%","97,85%","51,29%","72,69%","71,25%",,"78,89%","19,95%","87,68%","57,92%","100,00%","53,62%","99,96%","100,00%","99,47%","99,48%",,"80,11%",,"90,56%",,"72,36%","73,52%","81,04%",,"57,07%","56,65%"
how,"58,89%","78,57%","69,88%","77,69%","69,93%","35,82%","99,89%","42,69%","51,70%","46,53%","80,42%","26,75%","62,70%","87,54%","78,71%","87,34%","87,71%","83,50%","82,86%","58,81%","93,71%",,"84,56%","77,59%","90,13%","90,52%","95,36%","89,42%","90,53%","67,28%","90,83%","90,78%","94,95%","91,83%"
hunt,"44,84%","82,41%",,"78,54%",,"64,48%",,,"69,61%","77,81%","73,34%","73,91%","74,54%","74,70%","71,95%","74,71%","72,74%","58,86%",,,,"82,09%","55,05%","77,64%","100,00%","100,00%","100,00%","99,84%","99,38%","99,64%","99,37%","98,10%",,"96,86%"
husband,"75,41%","75,53%","56,47%","78,42%","90,46%","92,52%","96,37%","94,65%","98,20%","73,56%","73,07%","94,80%","94,84%","85,78%","72,14%","73,04%","90,45%","77,05%","63,90%","100,00%","48,79%","95,76%","95,39%","95,16%","79,33%","89,64%","87,36%","86,66%","88,27%","81,32%","89,62%","88,74%","100,00%","87,55%"
I,"8,37%","8,30%","9,29%","42,41%","8,26%","7,60%","80,84%","7,78%","38,82%","100,00%","15,39%","87,62%","20,12%","49,88%","40,09%","50,69%","50,45%","51,03%","93,67%","91,84%","12,19%","93,68%","90,03%","93,71%","46,39%","46,09%","45,46%","82,25%","86,63%","86,97%","85,44%","100,00%","86,00%","40,13%"
ice,,"68,13%","67,67%",,,,,"87,23%","96,02%","69,50%","69,53%","100,00%","100,00%","98,73%",,,,"100,00%",,,,"98,70%","99,58%",,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,46%","99,67%",,"99,97%"
if,"88,23%","100,00%","100,00%","54,02%","81,00%","61,26%","97,68%",,"100,00%","85,58%","84,73%","100,00%","100,00%","90,86%","100,00%","89,11%","96,34%","89,87%","90,35%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,98%","100,00%","99,94%"
in,"44,23%","77,74%","71,91%","49,79%",,"90,62%","91,97%","41,81%","100,00%","17,22%","56,26%","89,22%","89,93%","40,25%","77,47%","87,30%","77,64%","100,00%",,"52,45%","76,48%",,,,"81,84%","76,50%","87,95%","27,21%","76,08%","76,11%","75,72%","87,77%","88,10%","84,00%"
kill,"74,83%","74,85%","74,81%","71,61%","72,15%","75,35%",,"75,22%","69,85%","73,71%","78,15%","74,05%","70,07%","74,96%","74,83%","74,84%","74,98%","70,21%","75,06%","78,32%","78,32%","78,53%","78,45%","78,63%","66,97%","93,83%","93,86%","28,97%","93,74%","94,30%","27,88%","26,97%","99,85%","27,65%"
knee,,"37,93%","65,27%","18,86%",,"66,84%",,"17,72%","86,95%",,,"87,14%",,"93,61%","77,46%","41,99%",,"78,57%",,"87,66%","28,86%","91,84%","77,69%","93,69%","89,11%","89,37%","31,42%",,"88,93%","88,97%","89,14%","91,79%","90,73%","91,75%"
know,"74,50%","74,67%","74,72%","61,39%","71,95%","75,08%","74,89%","53,36%","75,17%","45,91%","78,02%","77,94%","70,55%","61,82%","72,96%","71,16%",,"66,57%","70,59%","74,64%","75,83%","72,58%","71,60%","72,68%","68,76%","68,20%","68,15%","64,56%","44,25%","44,51%","44,48%","73,86%","72,68%","73,17%"
lake,,"47,14%","63,80%","70,43%",,,,"90,69%","89,70%","83,89%","100,00%","100,00%","99,79%","38,37%",,"100,00%",,"100,00%",,"91,13%",,"96,82%",,,"91,65%","100,00%","100,00%","91,92%","100,00%","100,00%","99,55%","81,60%",,"100,00%"
laugh,"56,36%","57,87%","58,49%","68,16%","39,49%","63,80%","56,87%","59,28%","59,51%","55,12%","55,64%","51,34%","51,64%","50,54%","50,88%","54,70%","42,67%",,,"44,20%","55,01%","61,18%","43,33%","62,45%","25,68%","40,23%","44,35%","45,31%","45,20%","44,94%","49,34%","69,73%","59,17%","40,99%"
leaf,"63,92%","60,47%","65,58%","65,80%","93,32%","90,49%","85,43%","89,91%","83,68%","87,88%","88,12%","80,32%","81,50%","22,56%","59,80%","25,68%","24,83%","98,20%","86,26%","92,86%",,"90,38%","90,37%","90,40%","94,50%","92,47%","91,09%","98,41%","91,73%","91,54%","94,38%","94,19%","93,66%","94,04%"
left,,"57,22%","65,40%","68,87%",,"77,90%",,,"78,25%","81,44%","81,72%","77,03%","77,18%","61,44%","51,79%","34,29%","62,50%","81,22%","73,70%",,"69,03%","96,33%",,"89,86%","95,02%","98,67%","100,00%","95,66%","100,00%","100,00%","95,25%","96,01%",,"96,71%"
leg,"91,64%","92,40%","100,00%","56,64%","100,00%","89,64%","94,46%","58,44%","100,00%","94,40%","100,00%","98,91%","97,72%","91,15%","73,03%","74,87%","87,51%","92,67%","96,44%","12,48%","82,60%","99,46%","99,48%","90,16%","82,71%","82,82%","82,60%","83,02%","82,54%","82,78%","82,53%","82,62%",,"88,08%"
