#nexus

BEGIN TAXA;
  DIMENSIONS ntax=6;
  TAXLABELS
    SPA
    PAP
    PAL
    CAV
    TER
    ZAM
  ;
END;

BEGIN CHARACTERS;
  DIMENSIONS nchar=207;
  FORMAT
    datatype=STANDARD
    missing=?
    gap=-
    symbols="01"
    labels=no
    transpose=yes
    interleave=no
  ;
  MATRIX
1	0	0	1	0	0
1	1	1	1	1	1
1	0	0	1	1	1
1	0	0	1	0	0
1	0	1	?	?	?
1	0	1	0	1	1
1	0	1	1	1	0
1	1	?	?	?	?
1	1	0	0	?	?
1	0	0	1	0	0
1	0	0	1	1	1
1	0	1	0	0	0
1	0	1	0	0	0
1	1	1	1	1	1
1	0	?	1	1	1
1	0	0	?	0	1
1	1	0	1	1	1
1	1	1	1	1	1
1	1	?	0	0	?
1	0	1	0	0	0
1	0	?	1	0	?
1	0	1	0	?	?
1	1	0	0	0	0
1	0	0	1	0	0
1	1	?	0	?	0
1	1	0	0	0	0
1	0	0	0	1	0
1	1	0	1	0	1
1	0	1	0	0	0
1	1	0	?	?	?
1	0	1	1	1	1
1	0	0	1	0	0
1	1	0	0	0	0
1	1	?	1	1	1
1	0	?	1	?	?
1	?	?	0	?	1
1	0	0	1	0	0
1	0	0	1	0	0
1	1	0	0	0	0
1	0	0	1	0	0
1	0	0	0	0	1
1	0	0	1	0	0
1	0	0	0	1	0
1	1	?	1	1	0
1	?	?	?	?	?
1	0	?	?	1	?
1	0	?	1	?	1
1	1	1	1	1	1
1	1	0	0	0	0
1	0	?	1	0	?
1	1	0	0	0	0
1	0	0	0	1	0
1	0	0	1	1	1
1	?	?	?	?	?
1	1	?	?	?	?
1	0	0	1	0	0
1	0	?	1	0	0
1	1	?	?	?	?
1	0	1	0	0	0
1	0	0	?	?	1
1	0	1	1	1	?
1	?	?	1	?	?
1	0	1	0	0	0
1	0	?	0	1	0
1	0	0	1	1	1
1	1	1	1	1	1
1	0	?	1	1	1
1	0	1	0	0	0
1	0	1	0	?	0
1	0	0	1	1	1
1	0	1	1	1	1
1	0	0	0	1	0
1	0	0	1	1	1
1	1	0	0	0	0
1	1	0	0	0	0
1	0	?	1	0	0
1	0	1	1	1	1
1	1	0	0	0	0
1	0	0	0	0	1
1	0	1	0	0	?
1	0	1	?	0	0
1	?	?	1	0	0
1	1	0	0	0	0
1	0	0	0	0	1
1	?	?	0	1	?
1	1	1	1	1	1
1	0	1	?	?	?
1	0	0	0	0	1
1	0	0	0	0	1
1	0	1	0	0	0
1	0	?	1	?	?
1	0	0	0	0	1
1	1	?	0	0	0
1	?	0	1	?	0
1	0	0	0	1	0
1	?	?	?	1	?
1	0	0	1	0	0
1	0	0	1	?	0
1	0	0	0	1	0
1	0	?	0	1	?
1	0	0	0	0	1
1	0	0	0	1	0
1	0	1	1	1	1
1	1	0	0	0	0
1	0	1	1	1	1
1	1	0	0	0	?
1	0	1	1	1	1
1	0	0	1	1	1
1	0	?	0	0	1
1	?	0	1	0	?
1	0	0	0	1	0
1	?	0	1	0	1
1	0	1	0	0	0
1	1	1	1	1	1
1	0	0	1	1	0
1	1	0	1	1	1
1	0	1	0	1	0
1	1	0	1	0	0
1	0	0	1	1	1
1	0	0	0	0	1
1	0	0	0	1	0
1	?	0	1	?	0
1	0	0	1	1	?
1	0	0	1	0	0
1	0	0	0	1	0
1	0	0	1	0	1
1	0	0	1	1	1
1	0	?	1	0	0
1	1	?	?	?	?
1	0	?	1	?	?
1	0	?	1	0	0
1	1	?	?	?	?
1	0	0	1	1	1
1	?	?	1	0	0
1	0	0	0	0	1
1	0	?	1	0	0
1	0	?	0	1	0
1	0	0	1	0	0
1	0	0	1	0	1
1	1	?	0	0	0
1	?	?	0	0	1
1	0	0	0	1	0
1	0	0	0	0	1
1	0	1	0	0	0
1	0	0	1	0	0
1	0	1	1	1	1
1	0	0	1	0	0
1	1	?	0	0	?
1	1	0	0	0	0
1	0	?	0	1	1
1	1	?	1	0	1
1	1	0	0	0	0
1	?	?	0	1	?
1	0	0	1	0	1
1	0	0	0	0	1
1	1	0	0	0	0
1	1	?	0	0	?
1	1	?	?	?	?
1	0	0	0	0	1
1	0	?	1	0	0
1	0	1	0	1	0
1	0	0	0	0	1
1	?	?	0	1	0
1	0	?	0	0	1
1	0	0	1	1	1
1	0	?	0	0	1
1	0	?	1	0	1
1	0	0	1	1	1
1	0	0	1	0	1
1	0	0	0	0	1
1	?	?	1	0	?
1	0	0	1	1	1
1	0	0	0	1	0
1	0	0	0	0	1
1	0	0	0	1	1
1	1	1	1	1	?
1	0	0	0	1	0
1	0	0	1	0	0
1	0	0	1	1	1
1	0	0	1	1	1
1	0	1	?	?	?
1	0	0	1	0	0
1	0	0	1	1	1
1	0	?	1	0	0
1	0	0	0	0	1
1	0	?	0	1	0
1	0	0	1	0	0
1	0	0	0	0	1
1	1	0	0	0	?
1	0	?	0	1	0
1	0	1	1	1	1
1	0	0	1	1	1
1	0	0	1	0	0
1	0	0	1	1	1
1	1	1	1	1	1
1	0	?	1	1	1
1	1	0	0	0	0
1	1	?	1	1	1
1	0	1	1	1	?
1	0	0	0	1	?
1	0	?	1	1	1
1	0	0	0	1	0
1	0	?	?	?	1
1	0	1	0	0	1
1	?	0	0	0	1
1	1	?	0	?	?
1	0	?	1	0	0
  ;
END;
