#nexus

BEGIN TAXA;
  DIMENSIONS ntax=5;
  TAXLABELS
    PAP
    PAL
    CAV
    TER
    ZAM
  ;
END;

BEGIN CHARACTERS;
  DIMENSIONS nchar=207;
  FORMAT
    datatype=STANDARD
    missing=?
    gap=-
    symbols="01"
    labels=no
    transpose=yes
    interleave=no
  ;
  MATRIX
0	0	1	0	0
1	1	1	1	1
0	0	1	1	1
0	0	1	0	0
0	1	?	?	?
0	1	0	1	1
0	1	1	1	0
1	?	?	?	?
1	0	0	?	?
0	0	1	0	0
0	0	1	1	1
0	1	0	0	0
0	1	0	0	0
1	1	1	1	1
0	?	1	1	1
0	0	?	0	1
1	0	1	1	1
1	1	1	1	1
1	?	0	0	?
0	1	0	0	0
0	?	1	0	?
0	1	0	?	?
1	0	0	0	0
0	0	1	0	0
1	?	0	?	0
1	0	0	0	0
0	0	0	1	0
1	0	1	0	1
0	1	0	0	0
1	0	?	?	?
0	1	1	1	1
0	0	1	0	0
1	0	0	0	0
1	?	1	1	1
0	?	1	?	?
?	?	0	?	1
0	0	1	0	0
0	0	1	0	0
1	0	0	0	0
0	0	1	0	0
0	0	0	0	1
0	0	1	0	0
0	0	0	1	0
1	?	1	1	0
?	?	?	?	?
0	?	?	1	?
0	?	1	?	1
1	1	1	1	1
1	0	0	0	0
0	?	1	0	?
1	0	0	0	0
0	0	0	1	0
0	0	1	1	1
?	?	?	?	?
1	?	?	?	?
0	0	1	0	0
0	?	1	0	0
1	?	?	?	?
0	1	0	0	0
0	0	?	?	1
0	1	1	1	?
?	?	1	?	?
0	1	0	0	0
0	?	0	1	0
0	0	1	1	1
1	1	1	1	1
0	?	1	1	1
0	1	0	0	0
0	1	0	?	0
0	0	1	1	1
0	1	1	1	1
0	0	0	1	0
0	0	1	1	1
1	0	0	0	0
1	0	0	0	0
0	?	1	0	0
0	1	1	1	1
1	0	0	0	0
0	0	0	0	1
0	1	0	0	?
0	1	?	0	0
?	?	1	0	0
1	0	0	0	0
0	0	0	0	1
?	?	0	1	?
1	1	1	1	1
0	1	?	?	?
0	0	0	0	1
0	0	0	0	1
0	1	0	0	0
0	?	1	?	?
0	0	0	0	1
1	?	0	0	0
?	0	1	?	0
0	0	0	1	0
?	?	?	1	?
0	0	1	0	0
0	0	1	?	0
0	0	0	1	0
0	?	0	1	?
0	0	0	0	1
0	0	0	1	0
0	1	1	1	1
1	0	0	0	0
0	1	1	1	1
1	0	0	0	?
0	1	1	1	1
0	0	1	1	1
0	?	0	0	1
?	0	1	0	?
0	0	0	1	0
?	0	1	0	1
0	1	0	0	0
1	1	1	1	1
0	0	1	1	0
1	0	1	1	1
0	1	0	1	0
1	0	1	0	0
0	0	1	1	1
0	0	0	0	1
0	0	0	1	0
?	0	1	?	0
0	0	1	1	?
0	0	1	0	0
0	0	0	1	0
0	0	1	0	1
0	0	1	1	1
0	?	1	0	0
1	?	?	?	?
0	?	1	?	?
0	?	1	0	0
1	?	?	?	?
0	0	1	1	1
?	?	1	0	0
0	0	0	0	1
0	?	1	0	0
0	?	0	1	0
0	0	1	0	0
0	0	1	0	1
1	?	0	0	0
?	?	0	0	1
0	0	0	1	0
0	0	0	0	1
0	1	0	0	0
0	0	1	0	0
0	1	1	1	1
0	0	1	0	0
1	?	0	0	?
1	0	0	0	0
0	?	0	1	1
1	?	1	0	1
1	0	0	0	0
?	?	0	1	?
0	0	1	0	1
0	0	0	0	1
1	0	0	0	0
1	?	0	0	?
1	?	?	?	?
0	0	0	0	1
0	?	1	0	0
0	1	0	1	0
0	0	0	0	1
?	?	0	1	0
0	?	0	0	1
0	0	1	1	1
0	?	0	0	1
0	?	1	0	1
0	0	1	1	1
0	0	1	0	1
0	0	0	0	1
?	?	1	0	?
0	0	1	1	1
0	0	0	1	0
0	0	0	0	1
0	0	0	1	1
1	1	1	1	?
0	0	0	1	0
0	0	1	0	0
0	0	1	1	1
0	0	1	1	1
0	1	?	?	?
0	0	1	0	0
0	0	1	1	1
0	?	1	0	0
0	0	0	0	1
0	?	0	1	0
0	0	1	0	0
0	0	0	0	1
1	0	0	0	?
0	?	0	1	0
0	1	1	1	1
0	0	1	1	1
0	0	1	0	0
0	0	1	1	1
1	1	1	1	1
0	?	1	1	1
1	0	0	0	0
1	?	1	1	1
0	1	1	1	?
0	0	0	1	?
0	?	1	1	1
0	0	0	1	0
0	?	?	?	1
0	1	0	0	1
?	0	0	0	1
1	?	0	?	?
0	?	1	0	0
  ;
END;
