Gloss,Portuguese_KOR,Korlai,Portuguese_DAM,Daman,Portuguese_DIU,Diu,Portuguese_SRL,Sri Lanka PT,Portuguese_KAN,Kannur,Portuguese_MAL,Malacca,Portuguese_MAC,Macau,Portuguese_TB,Tugu/Batavia,Portuguese_STG,Santiago CV,Portuguese_SAT,SantoAntão CV,Portuguese_SVC,SãoVicente CV,Portuguese_FOG,Fogo CV,Portuguese_BRV,Brava CV,Portuguese_STM,Santome,Portuguese_FDB,Fá d'Ambô,Portuguese_PRC,Principense,Portuguese_ANG,Angolar,Portuguese_GUI,Guinea Bissau,Portuguese_CAS,Casamancese,Iberian_PAP,Papiamento,Spanish_PAL,Palenquero,Spanish_CAV,CaviteChabacano,Spanish_TER,TernateChabacano,Spanish_ZAM,ZamboangaChabacano,French_KAR,Karipuna,French_LOU,Louisiana,French_GUY,Guianese,French_HAI,Haitian,French_GUA,Guadeloupean,French_MAR,Martinican,French_SLU,SaintLucian,French_MAU,Mauritian,French_REU,Réunionese,French_SEY,Seychellois
man(humanbeing),pesoɐ,,pesoɐ,,pesoɐ,,pesoɐ,pesoaa,pesoɐ,,kɾiɐturɐ,kletura,kɾiɐturɐ,,ʒẽtiɔmẽ,dʒentiomi,algẽ,ɐlgẽ,ɔmẽ,psoɐ,ɔmẽ,psoɐ,algẽ,ɐɾgẽ,algẽ,,kɾistõ,kliʃtõ,,ŋe,nĩgẽ,nĩge,nĩgẽ,nĩŋe,pekɐdoɾ,pɛkadoɾ,pekɐdoɾ,,xente,hende,xente,hende,xenti,henti,xenti,henti,peɾsona,piɻsona,dymɔ̃d,mun,dymɔ̃d,mun,mɔ̃d,,dymɔ̃d,,dymɔ̃d,mun,dymɔ̃d,mun,dymɔ̃d,mun,dymɔ̃d,dimun,dymɔ̃d,mun,dymɔ̃d,ɟimun
many,mũj̃tu,mɔt,mũj̃tu,mwit,mũj̃tu,mujt,mũj̃tu,mujtu,mũj̃tu,,mũj̃tu,tantu,mũj̃tu,mutu,tɐ̃tu,tantu,tʃeju,tʃew,tʃeju,mut,tʃeju,tʃew,tʃeju,tʃew,tʃeju,tʃew,majsmõti,maʃimõtʃi,mõti,mɔ̃tʃi,mõti,mõtʃi,mõti,motʃi,tʃeju,tʃiw,tʃeju,ciw,mutʃu,maʃa,mutʃo,mutʃo,mutʃu,mutʃu,mutʃu,mutʃu,mutʃu,mutʃu,boku,boku,boku,boku,boku,boku,œ̃pil,ãpil,œ̃pil,ãpil,œ̃pil,ãpil,boku,bɔku,boku,buku,boku,boku,boku,boku
meat,kaɾni,kʰaɾm,kaɾni,kaɾn,kaɾni,kaɾ,kaɾni,kaaɾni,kaɾni,kaɾni,kaɾni,kandri,kaɾni,kaɾne,kaɾni,kaɾni,kaɾni,kaɾni,kaɾnɨ,keɾ,kaɾnɨ,kaɾ,kaɾni,kaɾni,kaɾni,kaɾni,kaɾni,kani,kaɾni,xaani,kaɾni,ukani,kaɾni,kani,kaɾnɨ,karni,kaɾnɨ,karna,kaɾni,kaɾni,kaɾne,kane,kaɾne,kaɾni,kaɾne,kaɾni,kaɾne,kaɻni,laʃɛʀ,laʃe,vjɑ̃d,vjãn,vjɑ̃d,vjãn,vjɑ̃d,vjãn,vjɑ̃d,vjãn,vjɑ̃d,vjãn,vjɑ̃d,vjãn,lavjɑ̃d,lavjã,vjɑ̃d,vjã,lavjɑ̃d,lavjã
moon,luɐ,,luɐ,lu,luɐ,lu,luɐ,luma,luɐ,luʋə,lũɐ,luŋa,luɐ,lua,lũɐ,luŋaɾ,luɐ,lwɐ,luɐ,,luɐ,,luɐ,,luɐ,,luɐ,nwa,luɐ,nwa,luɐ,unwa,,mbezi,lũɐ,luŋa,lũɐ,luŋa,luna,luna,luna,,luna,luna,luna,luna,luna,luna,lalyn,lalin,lalyn,lalin,lalyn,lalin,lalyn,,lalyn,lalin,lalyn,lalin,lalyn,lalin,lalyn,lalin,lyn,lin,lalyn,lalin
mother,mɐ̃j̃,maj,mɐ̃j̃,maj,mɐ̃j̃,mãj,mɐ̃j̃,maj,mɐ̃j̃,maj,mɐ̃j̃,maj,mɐ̃j̃,mɐj,mɐ̃j̃,maj,mɐ̃j̃,mɐj,mɐ̃j̃,mẽ,mɐ̃j̃,mɐ̃j,mɐ̃j̃,ma,mɐ̃j̃,maj,mɐmɐ,mama,mɐmɐ,majn,mɐmɐ,mwĩ,mɐmɐ,mama,mɐmɐ,mamɛ,mɐmɐ,mamɛ,mama,mama,maðɾe,magɾe,maðɾi,madɾi,maðɾi,madɾi,,nana,mamɑ̃,mãmã,mamɑ̃,momã,mamɑ̃,mãmã,mamɑ̃,mãmã,mamɑ̃,mãmã,mamɑ̃,mãmã,mamɑ̃,mãmã,mamɑ̃,mama,mamɑ̃,mãmã,mamɑ̃,mãmã
mountain,sɛrɐgrɐ̃di,sɛrgran,mõtɐɲɐ,montaɲ,mõtɐɲɐ,,mõtɐɲɐ,montaɲa,mõtɐɲɐ,montaɲə,mõtɐɲɐ,montaɲa,mõtɐɲɐ,,mõtɐɲɐ,monti,mõti,mũti,mõtɐɲɐ,mõnt,mõtɨ,mõt,mõti,mũti,mõti,mõti,,oke,,iki,,okje,,lõde,mõtɐɲɐ,mõtaɲɐ,mõtɐɲɐ,,seru,seɾu,montaɲa,,monti,monti,monti,monti,monti,monti,mɔ̃taɲ,mõtãj,mɔ̃taɲ,mõtãɲ,mɔ̃taɲ,mõtãɲ,mɔ̃,mɔn,mɔ̃taɲ,mɔ̃taj,mɔ̃taɲ,mɔ̃taj,mɔ̃taɲ,mɔ̃tãj,mɔ̃taɲ,mõtãj,mɔ̃taɲ,mɔ̃tã,mɔ̃taɲ,mɔ̃tã
mouth,bokɐ,bok,bokɐ,bok,bokɐ,bok,bokɐ,booka,bokɐ,bɔkə,bokɐ,boka,bokɐ,bɔka,bokɐ,boka,bokɐ,bɔkɐ,bokɐ,bɔka,bokɐ,bɔka,bokɐ,bɔka,bokɐ,bɔka,bokɐ,bɔkɐ,bokɐ,boxa,bokɐ,ubukɐ,bokɐ,bokɐ,bokɐ,bokɐ,bokɐ,boka,boka,boka,boka,boka,boka,boka,boka,boka,boka,boka,buʃ,buʃ,buʃ,buʃ,buʃ,buʃ,buʃ,buʃ,ɡœl,ɟol,buʃ,buʃ,buʃ,buʃ,labuʃ,labus,labuʃ,bus,labuʃ,labus
name,nɔmi,nom,nɔmi,nom,nɔmi,nom,nɔmi,nɔɔmi,nɔmi,nɔmi,nɔmi,nomi,nɔmi,nome,nɔmi,nomi,nɔmi,nɔmi,nɔmɨ,nom,nɔmɨ,nɔm,nɔmi,nɔmi,nɔmi,nɔmi,nɔmi,nɔmi,nɔmi,namu,nɔmi,nɔmi,nɔmi,nɔmi,nɔmɨ,nɔmi,nɔmɨ,nomi,nombɾi,nɔmbəɾ,nombɾe,,nombɾi,nombɾi,nombɾi,nombɾi,nombɾi,nombɾi,nɔ̃,nõ,nɔ̃,nõ,nɔ̃,nõ,nɔ̃,nõ,nɔ̃,nɔ̃,nɔ̃,nɔ̃,nɔ̃,nɔ̃,nɔ̃,nõ,nɔ̃,nɔ̃,nɔ̃,nɔ̃
narrow,ʒũtu,tʃũntʃ,istɾejtu,estɾet,istɾejtu,,istɾejtu,istɾeetu,,idungija,,gapidu,finu,finu,ɐpeɾtadu,apeɾtadu,ɐpeɾtadu,peɾtadu,ʃtɾejtu,ʃtɾet,ʃtɾejtu,ʃtɾet,istɾejtu,stɾetu,istɾejtu,stɾetu,finu,fĩfi,finu,,,tʃɛkɛtʃɛkɛ,finu,,ʃtɾejtu,,ʃtɾejtu,,,smal,estɾetʃo,,estɾetʃu,istɾetʃu,estɾetʃu,istɾetʃu,estɾetʃu,,sɛʀe,sehe,etʀwa,etɾwa,etʀwɛ,etʁɛt,etʀwa,etwat,etʀwa,etwɛt,etʀwa,etwet,etʀwa,etwet,sɛʀe,seɣe,sɛʀe,,etʀwa,etɣwat
near,pɛɾtu,pɛɾt,pɛɾtu,pɛɾt,pɛɾtu,pɛɾt,pɛɾtu,pɛɛɾtu,pɛɾtu,pɛɾtə,pɛɾtu,pertu,pɛɾtu,peɾtu,pɛɾtu,peɾtu,pɛɾtu,pɛɾtu,pɛɾtu,peɾt,pɛɾtu,pɛɾt,pɛɾtu,peɾtu,pɛɾtu,peɾtu,pɛɾtu,pɛtu,pɛɾtu,pɛɛtu,pɛɾtu,pɛtu,pɛɾtu,pɛtu,pɛɾtu,pɛɾtu,pɛɾtu,pertu,seɾka,seɾka,seɾka,sekka,seɾka,seɾka,seɾka,seɾka,seɾka,seɻka,pʀɔʃ,phɔʃ,kote,kote,,oʁa,pʀɛ,pɣe,tupʀɛ,tupɣe,tupʀɛ,tupɣe,pʀɛ,pwe,pʀɛ,pɣe,pʀɛ,pjɔɔs,pʀɛ,pɣe
