Gloss,Portuguese_KOR,Korlai,Portuguese_DAM,Daman,Portuguese_DIU,Diu,Portuguese_SRL,Sri Lanka PT,Portuguese_KAN,Kannur,Portuguese_MAL,Malacca,Portuguese_MAC,Macau,Portuguese_TB,Tugu/Batavia,Portuguese_STG,Santiago CV,Portuguese_SAT,SantoAntão CV,Portuguese_SVC,SãoVicente CV,Portuguese_FOG,Fogo CV,Portuguese_BRV,Brava CV,Portuguese_STM,Santome,Portuguese_FDB,Fá d'Ambô,Portuguese_PRC,Principense,Portuguese_ANG,Angolar,Portuguese_GUI,Guinea Bissau,Portuguese_CAS,Casamancese,Iberian_PAP,Papiamento,Spanish_PAL,Palenquero,Spanish_CAV,CaviteChabacano,Spanish_TER,TernateChabacano,Spanish_ZAM,ZamboangaChabacano,French_KAR,Karipuna,French_LOU,Louisiana,French_GUY,Guianese,French_HAI,Haitian,French_GUA,Guadeloupean,French_MAR,Martinican,French_SLU,SaintLucian,French_MAU,Mauritian,French_REU,Réunionese,French_SEY,Seychellois
push,,loʈu,ẽpuraɾ,empuʀa,ɐtiɾaɾ,atəɾa,ɐtiɾaɾ,taɭɭi,ɐtiɾaɾ,puʃɛ,ɐtiɾaɾ,tola,ɐtiɾaɾ,,ɐtiɾaɾ,,ɐtiɾaɾ,pĩtʃɐ,ẽpuʀaɾ,ĩŋpuʀa,ẽpuʀaɾ,ĩpuʀa,pĩtʃaɾ,pĩtʃa,pĩtʃaɾ,pĩtʃa,pĩtʃaɾ,pĩsa,pĩtʃaɾ,piza,pĩtʃaɾ,pĩsa,pĩtʃaɾ,pĩθa,pĩtʃaɾ,pĩtʃɐ,pĩtʃaɾ,piɲca,,puʃa,empuxaɾ,,empuxaɾ,impuha,empuxaɾ,tula,puxaɾ,puha,puse,puse,puse,puse,puse,puse,puse,puse,buʀe,buɣe,buʀe,buɣe,puse,puse,puse,puse,puse,puus,puse,puse
rain,tʃuβɐ,tʃu,tʃuβɐ,tʃu,tʃuβɐ,tʃuʋ,tʃuβɐ,tʃuuʋa,tʃuβɐ,tʃuʋə,tʃuβɐ,tʃwa,tʃuβɐ,tʃuva,tʃuβɐ,tʃua,tʃuβɐ,tʃubɐ,tʃuvɐ,tʃuvɐ,tʃuvɐ,tʃuvɐ,tʃuβɐ,tʃubɐ,tʃuβɐ,tʃobe,tʃuβɐ,subɐ,tʃuβɐ,ʃuva,tʃuβɐ,usuvɐ,tʃuβɐ,θubɐ,tʃuβɐ,tʃubɐ,tʃuβɐ,coba,agwaseɾu,awaseɾu,ʎuβja,,agwaseɾu,agwaseɾu,agwaseɾu,agwaseɾu,,ulan,laplɥi,lapli,laplɥi,lapli,laplɥi,lapli,plɥi,pli,laplɥi,lapli,laplɥi,lapli,laplɥi,lapli,laplɥi,lapli,laplɥi,lapli,laplɥi,lapli
red,βeɾmeʎu,biɾmel,ẽkɐɾnadu,enkəɾnad,βeɾmeʎu,vɛɾmej,βeɾmeʎu,bɾumaaj,βeɾmeʎu,bɾəmɛl,βeɾmeʎu,brumilu,βeɾmeʎu,venelu,βeɾmeʎu,,βeɾmeʎu,buɾmedʒu,βeɾmeʎu,veɾmej,βeɾmeʎu,bɾumedʒ,βeɾmeʎu,bɾumedʒu,βeɾmeʎu,bɾumedʒu,βeɾmeʎu,vleme,βeɾmeʎu,vɛmɛju,βeɾmeʎu,veme,βeɾmeʎu,veme,βɨɾmeʎu,burmejʊ,βɨɾmeʎu,burmeɟu,kɔɾadu,kɔɾa,roxo,,koloɾaðu,kuluɾaw,koloɾaðu,kuleɾaw,koloɾaðu,kuluɾaw,ʀuʒ,huʒ,ʀuʒ,ɾuʒ,ʀuʒ,,ʀuʒ,ɣuʒ,ʀuʒ,wuʒ,ʀuʒ,wuʒ,ʀuʒ,wuʒ,ʀuʒ,ɣuz,ʀuʒ,ʀuz,ʀuʒ,ɣuz
right,mãw̃diɾejtɐ,mãwdɾet,ladudiɾejtu,laddɾet,ladudiɾejtu,laddɾet,mãw̃diɾejtɐ,mandɾetu,mãw̃diɾejtɐ,,diɾejtu,dretu,diɾejtu,dɾetu,diɾejtu,dɾetu,diɾejtɐ,diɾetɐ,diɾejtɐ,dɾet,diɾejtɐ,dɾet,diɾejtɐ,dɾetu,diɾejtɐ,dɾetu,diɾejtɐ,dletu,diɾejtɐ,dɛɛta,diɾejtu,detu,diɾejtu,detu,diɾejtɐ,diɾejtɐ,diɾejtɐ,,deɾetʃu,dɾetʃi,deɾetʃo,deɾetʃa,deɾetʃu,deɾetʃu,deɾetʃu,deɾetʃu,deɾetʃu,diɾetʃa,dʀwɛt,dhɛt,dʀwɛt,dɾwa,dʀwɛt,dʁɛt,dʀwɛt,dwat,dʀwɛt,dwɛt,dʀwɛt,dwet,dʀwɛt,dwɛt,dʀwɛt,dɣwat,dʀwɛt,dʀɛt,dʀwɛt,dɣwat
river,riw,ɾʰibeɾ,riw,ʀi,riw,ɾi,riw,ɾiiʋ,riw,,riw,riw,riw,,riw,ɾiu,riw,ɾiw,ʀiw,ʀiw,ʀiw,ʀiw,riw,ɾiw,riw,ɾiw,riw,jo,ribejɾɐ,lubɛla,uriw,orjo,uriw,ojo,riw,riw,riw,,riw,ɾiw,rio,ɾio,riw,riw,riw,riju,riw,riw,laʀivjɛʀ,lahivje,ʀivjɛʀ,ɾivjɛ,laʀivjɛʀ,laʁivje,laʀivjɛʀ,laɣivjɛ,laʀivjɛʀ,laɣivjɛ,laʀivjɛʀ,laɣivjɛ,laʀivjɛʀ,larivjɛ,laʀivjɛʀ,laɣivjeɣ,laʀivjɛʀ,,laʀivjɛʀ,laɣivjɛɛ
road,kɐmiɲu,kami,kɐmiɲu,kamiɲ,kɐmiɲu,kamiŋ,kɐmiɲu,kamiim,kɐmiɲu,kamiɲə,ruɐ,rua,ruɐ,ɾua,ruɐ,kamiɲu,istɾadɐ,stɾadɐ,ʃtɾadɐ,ʃtɾadɐ,ʃtɾadɐ,ʃtɾadɐ,istɾadɐ,stɾadɐ,istɾadɐ,stɾadɐ,kɐmĩɲu,kamja,kɐmĩɲu,xamĩu,kɐmĩɲu,kumĩ,,mɔdja,kɐmiɲu,kɐmiɲu,kɐmiɲu,kamiɲu,kamiɲu,kaminda,kaʝe,kaje,kaminu,kaminu,kaminu,kaminu,kaminu,kaminu,ʃəmɛ̃,ʃimẽ,ʃəmɛ̃,ʃmẽ,ʃəmɛ̃,ʃimẽ,ʃəmɛ̃,ʃemẽ,ʃəmɛ̃,ʃimɛ̃,ʃəmɛ̃,ʃimɛ̃,ʃəmɛ̃,ʃimɛ̃,ʃəmɛ̃,simẽ,ʃəmɛ̃,semɛ̃,ʃəmɛ̃,semɛ̃
root,rɐis,ɾʰajs,rɐis,ʀajz,rɐis,ɾaiz,rɐis,ɾɛzə,rɐis,ɾoːt,rɐis,rais,rɐis,,rɐis,ɾais,rɐis,ɾɐis,ʀɐiʃ,ʀeiʃ,ʀɐiʃ,ʀeiʃ,rɐis,ɾais,rɐis,ɾais,rɐis,lɛʒi,rɐis,lɛze,rɐis,rɛʒi,,ndatʃi,rɐiʃ,ɾaiʃ,rɐiʃ,,rais,ɾais,rais,,rais,reis,rais,reis,rais,reis,ʀasin,hasin,ʀasin,ɾasin,ʀasin,ʁasin,ʀasin,ɣasin,ʀasin,ɣasin,ʀasin,ɣasin,ʀasin,wsin,ʀasin,ɣasin,ʀasin,ʀasin,ʀasin,ɣasin
rope,kɔɾdɐ,kɔɾd,kɔɾdɐ,kɔɾd,kɔɾdɐ,kɔɾd,kɔɾdɐ,kɔɔɾda,kɔɾdɐ,kɔɾdə,kɔɾdɐ,kodra,kɔɾdɐ,koɾda,kɔɾdɐ,koɾda,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔɾda,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,kɔdɔ,kɔɾdɐ,xɔɔdɔ,kɔɾdɐ,kwaa,kɔɾdɐ,kɔdɔ,kɔɾdɐ,kɔɾdɐ,kɔɾdɐ,korda,liɲɐ,liɲa,kweɾða,,,mikati,,mikati,kweɾða,,kɔʀd,kɔd,kɔʀd,kɔɾd,kɔʀd,kɔʁd,kɔʀd,kɔd,kɔʀd,kɔd,kɔʀd,kɔd,kɔʀd,kɔd,lakɔʀd,lakoɣd,kɔʀd,kɔɔd,lakɔʀd,lakɔɔd
rotten,podɾi,pod,podɾi,pod,podɾi,pod,podɾi,poodɾi,podɾi,apodɾə,podɾi,podri,,amiz,fedeɾ,fedeɾ,podɾi,podɾi,podɾɨ,podɾ,podɾɨ,podɾ,podɾi,podɾi,podɾi,podɾi,podɾi,pɔdlɛ,podɾi,,podɾi,pode,podɾi,,podɾɨ,podɾi,podɾɨ,,putɾidu,putɾi,poðɾiðo,,poðɾiðu,pudɾidu,,bolok,,bulug,puʀi,puhi,puʀi,puɾi,puʀi,puʁi,puʀi,puɣi,puʀi,puɣi,puʀi,puɣi,puʀi,puwi,puʀi,puɣi,puʀi,,puʀi,puɣi
round,,gol,redõdu,ɾɛdɔn,redõdu,ɾɛdɔnd,,ɾɔnt,redõdu,ɾɛdondə,redõdu,rədonu,redõdu,,buladu,bulat,redõdu,ɾodõdu,ʀɨdõdu,,ʀɨdõdu,,redõdu,ɾudɔndu,redõdu,,redõdu,lɛ̃dɔ̃dɔ,redõdu,lɔdɔ̃da,redõdu,rɔdɔ̃dɔ,,kɔ̃dɔgaɾu,rɨdõdu,rɨdõdu,rɨdõdu,rodondu,redõdu,ɾondo,reðondo,,reðondu,redondu,reðondu,redondu,reðondu,ridondu,ʀɔ̃,hõ,ʀɔ̃,ɾõ,ʀɔ̃di,ʁõdi,ʀɔ̃,,ʀɔ̃,wɔ̃,ʀɔ̃,wɔ̃,ʀɔ̃,wɔ̃,ʀɔ̃,ɣõ,ʀɔ̃,ʀɔ̃,ʀɔ̃,ɣɔ̃
rub,masaʒjaɾ,masa,isfɾegaɾ,iʃpɾega,isfɾegaɾ,,rusaɾ,ɾusaa,rusaɾ,ɾub,rusaɾ,rusa,rusaɾ,rusa̹,rusaɾ,ɾusa,isfɾegaɾ,fɛɾgɐ,ɨʃfɾɨgaɾ,ʃfɾega,ɨʃfɾɨgaɾ,ʃfɾega,isfɾegaɾ,fɾega,isfɾegaɾ,fɾega,isfɾegaɾ,flɛga,isfɾegaɾ,fɛɛga,isfɾegaɾ,fɛga,isfɾegaɾ,fɛga,arɐɲaɾ,reia,isfɾegaɾ,ferga,isfɾegaɾ,fɾega,fɾotaɾ,,fɾotaɾ,,,kuskus,,kusu,fʀɔte,fote,fʀɔte,fɾote,fʀɔte,fʁote,fʀɔte,fɣote,fʀɔte,fwote,fʀɔte,fwote,fʀɔte,fote,fʀɔte,fɣote,fʀɔte,,fʀɔte,fɣote
salt,sal,sal,sal,sal,sal,sal,sal,saal,sal,sal,sal,sal,sal,,sal,sal,sal,sɐl,saɫ,sal,saɫ,sal,sal,sal,sal,sal,sal,salu,sal,salu,sal,usalu,sal,θalu,saɫ,saɫ,sal,sal,sal,salu,sal,,sal,sal,sal,sal,sal,sal,dysɛl,dʒisɛl,dysɛl,disɛl,sɛl,sɛl,sɛl,sɛl,sɛl,sɛl,sɛl,sɛl,sɛl,sel,dysɛl,disel,sɛl,sɛɛl,dysɛl,ɟisel
sand,,ɾeti,ɐɾejɐ,aɾe,ɐɾejɐ,aɾej,ɐɾejɐ,aɾiija,,baʀə,ɐrejɐ,aria,ɐrejɐ,,ɐrejɐ,aɾia,ɐrejɐ,ɾejɐ,ɐɾejɐ,eɾeɐ,ɐɾejɐ,aɾeɐ,ɐrejɐ,aɾejɐ,ɐrejɐ,aɾejɐ,ɐrejɐ,alja,ɐrejɐ,alɛa,ɐrejɐ,arja,,nθeke,ɐɾejɐ,rejɐ,ɐɾejɐ,ɾeɟa,,santu,aɾena,,aɾena,aɾena,aɾena,haɾena,aɾena,aɾena,bɑ̃sabl,bãsab,sabl,sab,sabl,,sabl,sab,sabl,sab,sabl,sab,sabl,sab,dysabl,disab,sabl,sab,dysabl,ɟisab
say,fɐlaɾ,hala,fɐlaɾ,fala,dizeɾ,dize,fɐlaɾ,falaa,fɐlaɾ,,fɐlaɾ,fala,fɐlaɾ,fala̜,fɐlaɾ,fala,fɐlaɾ,flɐ,dizeɾ,dze,dizeɾ,dze,fɐlaɾ,fɾɐ,fɐlaɾ,fɾɐ,fɐlaɾ,fla,fɐlaɾ,faa,fɐlaɾ,fa,fɐlaɾ,fa,fɐlaɾ,fala,fɐlaɾ,fala,abisaɾ,bisa,ablaɾ,abla,ablaɾ,abla,ablaɾ,bisa,ablaɾ,abla,diʀ,dʒi,diʀ,di,diʀ,di,diʀ,di,diʀ,ɟi,diʀ,ɟi,diʀ,di,diʀ,diɣ,diʀ,dii,diʀ,ɟii
scratch,ɐrɐɲaɾ,ɾʰãja,ɐrɐɲaɾ,ʀaɲa,ɐrɐɲaɾ,ɾaŋa,boraɾ,buɾaa,ɐrɐɲaɾ,ɾaɲæ,ɐrɐɲaɾ,raɲa,kusaɾ,kusa̜,kusaɾ,,kosaɾ,kosɐ,kusaɾ,kosa,kusaɾ,kosa,kosaɾ,kosɐ,kosaɾ,kosa,,fɔnɔ,kusaɾ,kusa,arɐɲaɾ,ɲanu,kosaɾ,kɔθa,arɐɲaɾ,raɲɐ,kosaɾ,kosa,araɲaɾ,huɲa,raskaɾ,,raskaɾ,raska,raskaɾ,raska,raskaɾ,raska,ɡʀate,ghate,ɡʀate,gɾate,ɡʀate,gʁate,ɡʀate,gɣate,gʀafiɲe,gɣafijɛ̃,gʀafiɲe,gɣafijɛ̃,kudgʀif,kudgwif,ɡʀate,gɣate,,ʀak,ɡʀate,gɣate
sea,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maaɾa,maɾ,maɾə,maɾ,mar,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,umaɾ,ɔmali,umaɾ,ɔmɛ,umaɾ,omwe,,miõgɐ,maɾ,maɾ,maɾ,maɾ,lamaɾ,laman,maɾ,,plaʝa,plaja,lamaɾ,lamaɾ,laplaʝa,aplaja,lamɛʀ,lasulamɛ,lamɛʀ,lamɛɾ,lamɛʀ,lãmɛ,lamɛʀ,lãmɛ,lamɛʀ,lãmɛ,lamɛʀ,lãmɛ,lamɛʀ,lãmɛ,lamɛʀ,lameɣ,lamɛʀ,lamɛʀ,lamɛʀ,lãmɛɛ
see,oʎaɾ,,oʎaɾ,,oʎaɾ,,oʎaɾ,ojaa,oʎaɾ,,oʎaɾ,ola,oʎaɾ,ola̜,oʎaɾ,ola,oʎaɾ,ɔdʒɐ,uʎaɾ,oja,uʎaɾ,ojɐ,oʎaɾ,odʒɐ,oʎaɾ,odʒa,βeɾ,be,βeɾ,be,βeɾ,ve,βeɾ,be,oʎaɾ,ɔdʒa,oʎaɾ,woɟa,miɾaɾ,miɾa,miɾaɾ,mina,miɾaɾ,miɾa,miɾaɾ,miɾa,miɾaɾ,miɾa,vwɛʀ,wɛ,vwaʀ,wa,vwɛʀ,wɛ,vwɛʀ,wɛ,vwɛʀ,wɛ,vwɛʀ,wɛ,vwɛʀ,wɛ,tʀuve,tɣuve,vwaʀ,waa,tʀuve,waa
seed,semẽti,simɛt,semẽti,siment,semẽti,simẽt,semẽti,,fɾutɐ,fɾujtɛ,semẽti,suminti,semẽti,,semẽti,sumenti,semẽti,simẽti,sɨmẽtɨ,smẽnt,sɨmẽtɨ,smẽt,semẽti,simẽti,semẽti,simẽti,semẽti,ʃimɛ̃tʃi,semẽti,ʃimɛ̃tʃi,semẽti,ʃimɛ̃tʃi,,ikwe,sɨmẽtɨ,simenti,gɾɐ̃w̃,garã,semiʎa,simia,semiʎa,,pepita,pipita,pepita,pipita,pepita,pipita,ɡʀɛn,ghɛn,ɡʀɛn,gɾẽn,ɡʀɛn,gʁɛn,ɡʀɛn,gɣẽn,ɡʀɛn,gɣɛ̃n,ɡʀɛn,gɣɛ̃n,ɡʀɛn,gwɛ̃n,laɡʀɛn,lagɣen,ɡʀɛn,gʀɛ̃,laɡʀɛn,lagɣɛ̃
sew,kuzeɾ,kudze,kustuɾaɾ,kuʃtɾa,kustuɾaɾ,,kuzeɾ,kuza,kuzeɾ,kuze,kuzeɾ,kuze,kostuɾaɾ,kostuɾa̹,kuzeɾ,kudʒi,kuzeɾ,kosi,kuzeɾ,kzɛ,kuzeɾ,kozɛ,kuzeɾ,koze,kuzeɾ,kozɛ,kuzeɾ,kloze,kuzeɾ,xoze,kuzeɾ,koze,kuzeɾ,koðe,kuzeɾ,kusi,kuzeɾ,kose,koseɾ,kose,koseɾ,,koseɾ,kusi,koseɾ,kuse,koseɾ,kuse,kudʀ,kud,kudʀ,koud,kudʀ,kud,kudʀ,kud,kudʀ,kud,kudʀ,kud,kudʀ,kud,kudʀ,kud,kudʀ,,kudʀ,kud
sharp,ɐgudu,agud,ɐgudu,agud,ɐgudu,,ɐgudu,aʋdu,ɐgudu,agud,ɐgudu,agudu,ɐgudu,,ɐgudu,agudu,ɐmoladu,moladu,ɐmuladu,molɔd,ɐmuladu,molɔd,ɐfjadu,fjadu,ɐfjadu,fjadu,ɐmoladu,mɔladu,koɾtadu,xɔtadu,ɐmoladu,,ɐmoladu,,ɐfjadu,,ɐfjadu,,,skɛɾpi,afilaðo,,aɣuðu,agudu,aɣuðu,agudu,finu,pinu,afyte,fite,kupɑ̃,kupã,afyte,,,file,file,file,file,file,file,file,afyte,fite,afyte,,afyte,fite
short,kuɾtu,kuɾt,kuɾtu,kuɾt,kuɾtu,kuɾt,kuɾtu,kuuɾtu,kuɾtu,kuɾtə,kuɾtu,kutru,,bantu,kuɾtu,kuɾtu,kuɾtu,kuɾtu,kuɾtu,kuɾt,kuɾtu,kuɾt,kuɾtu,kuɾtu,kuɾtu,kuɾtu,kuɾtu,kutu,kuɾtu,kuutu,kuɾtu,kutu,kuɾtu,kutu,kuɾtu,kuɾtu,kuɾtu,kuɾtu,koɾtu,kɔɾtiku,koɾto,koto,koɾtu,koɾtu,koɾtu,koɾtu,koɾtu,koɻtu,kuʀ,kut,kuʀ,kuɾt,kuʀt,kuʁt,kuʀt,kut,tupəti,tupici,kuʀt,kut,kuʀt,kut,kuʀ,kuɣ,kuʀ,,kuʀ,kuut
sing,kɐ̃taɾ,kata,kɐ̃taɾ,kanta,kɐ̃taɾ,kanta,kɐ̃taɾ,kantaa,kɐ̃taɾ,kantɛ,kɐ̃taɾ,kanta,kɐ̃taɾ,,kɐ̃taɾ,kanta,kɐ̃taɾ,kantɐ,kɐ̃taɾ,kɐ̃ntaɾ,kɐ̃taɾ,kãta,kɐ̃taɾ,kãtɐ,kɐ̃taɾ,kãtɐ,kɐ̃taɾ,kɐ̃ta,kɐ̃taɾ,xɐ̃nta,kɐ̃taɾ,kɐ̃ta,kɐ̃taɾ,kata,kɐ̃taɾ,kãntɐ,kɐ̃taɾ,kanta,kantaɾ,kanta,kantaɾ,kanda,kantaɾ,kanta,kantaɾ,kanta,kantaɾ,kanta,ʃɑ̃te,ʃãnte,ʃɑ̃te,ʃãte,ʃɑ̃te,ʃãte,ʃɑ̃te,ʃãte,bajelavwa,bajlavwa,ʃɑ̃te,ʃãte,ʃɑ̃te,ʃãte,ʃɑ̃te,sãte,ʃɑ̃te,,ʃɑ̃te,sãte
sit,sẽtaɾ,sata,sẽtaɾ,santa,sẽtaɾ,sẽta,sẽtaɾ,santaa,sẽtaɾ,santɛ,sẽtaɾ,santa,sẽtaɾ,senta̜,sẽtaɾ,santa,sẽtaɾ,ʃĩtɐ,sẽtaɾ,sẽnta,sẽtaɾ,sẽta,sẽtaɾ,sĩtɐ,sẽtaɾ,sĩta,estaɾsɔ,tasɔ̃,sẽtaɾ,sẽta,estaɾsɔ,tusɐ̃,estaɾsɔ,taθɔ,sẽtaɾ,sintɐ,sẽtaɾ,sinta,sẽtaɾ,sĩta,sentaɾse,senta,sentaɾ,sinta,sentaɾ,sinta,sentaɾ,sinta,asi,asi,asi,asit,asi,asi,,ʃita,asi,size,asi,size,asi,asid,asi,asize,asi,asize,asi,asize
skin,pɛli,pɛl,pɛli,pel,pɛli,pɛl,pɛli,pɛɛli,pɛli,pæli,pɛli,pɛli,pɛli,pele,pɛli,peli,pɛli,pɛli,pɛɫɨ,pel,pɛɫɨ,pɛl,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛɫɨ,pɛlɪ,pɛlɨ,,kweru,kweɾu,pjel,,abiliðad,abilidad,peʎexu,piljehu,peʎexu,piʎehu,lapo,lapo,lapo,lapo,lapo,lapo,po,po,lapo,lapo,lapo,lapo,lapo,lapo,lapo,lapo,po,po,lapo,lapo
sky,sɛws,sews,sɛw,sɛw,sɛw,sɛw,sɛw,sɛɛʋ,,heaven,,sew,sɛw,kɛu,sɛw,seu,sɛw,sɛw,sɛw,sɛw,sɛw,sɛw,sɛw,sɛw,sɛw,sɛw,usɛw,ɔsɛ,usɛw,ɔsɛ,usɛw,ɔsɛ,usɛw,ɔθɛ,sɛw,sɛw,sɛw,,sjelu,ʃelu,sjelo,sjelo,sjelu,sjelu,sjelu,sjelu,sjelu,sjelu,sjɛl,siɛl,sjɛl,sjɛl,sjɛl,sjɛl,ləsjɛl,lesjɛl,sjɛl,siel,sjɛl,sjɛl,sjɛl,sjɛl,ləsjɛl,lesjel,ləsjɛl,,ləsjɛl,lesjel
sleep,duɾmiɾ,duɾmi,duɾmiɾ,duɾmi,duɾmiɾ,duɾmi,duɾmiɾ,dɾumii,duɾmiɾ,dɾumi,duɾmiɾ,durmi,duɾmiɾ,duɾmi,duɾmiɾ,dɾumi,duɾmiɾ,dɾumi,duɾmiɾ,duɾmi,duɾmiɾ,duɾmi,duɾmiɾ,dɾumi,duɾmiɾ,duɾmi,duɾmiɾ,dumini,duɾmiɾ,dʒjuni,duɾmiɾ,dimi,duɾmiɾ,dumi,duɾmiɾ,durmɪ,duɾmiɾ,durmi,doɾmiɾ,dɾumi,ðoɾmiɾ,ndɾumi,doɾmiɾ,duɾmi,doɾmiɾ,duɾmi,doɾmiɾ,duɻmi,dɔʀmiʀ,dhɔmi,dɔʀmiʀ,dɔɾmi,dɔʀmiʀ,,dɔʀmiʀ,dɔmi,dɔʀmiʀ,dɔmi,dɔʀmiʀ,dɔmi,dɔʀmiʀ,dɔmi,dɔʀmiʀ,doɣmiɣ,dɔʀmiʀ,dɔɔmi,dɔʀmiʀ,dɔɔmi
small,pikenu,piken,pikenu,piken,pikenu,piken,pikininu,pikiniim,pikininu,piken,pikininu,keninu,pikininu,sajkɔ,pikininu,peklinu,pikinɔti,pikinɔti,pikininu,peknin,pikininu,pikinin,pikenu,pikenu,pikinɔti,pikinɔti,,tʃɔkɔ,,kete,,tʃɔkɔlɔ,,tʃɔ,pikininu,pikininu,pikininu,pikininu,tʃikitu,tʃikitu,pekeɲo,,tʃikitu,tʃikito,tʃikitu,tʃikitiŋ,,djutay,pəti,pitʃi,pəti,ti,pəti,ti,pəti,piti,pəti,ci,pəti,ci,pəti,piti,pəti,ti,pəti,ti,pəti,ci
smell,ʃejɾuβiɾ,tʃeɾʋi,tʃejɾaɾ,tʃeɾa,tʃejɾaɾ,tʃeɾa,tʃejɾaɾ,tʃeɾaa,tʃejɾaɾ,tʃeɾə,tʃejɾaɾ,tʃera,tʃejɾaɾ,tʃeɾa̹,tʃejɾaɾ,tʃeɾa,tʃejɾaɾ,keɾɐ,tʃejɾaɾ,tʃeɾɛ,tʃejɾaɾ,tʃeɾɛ,tʃejɾaɾ,tʃeɾɐ,tʃejɾaɾ,tʃeɾɐ,tʃejɾaɾ,sɛla,tʃejɾaɾ,sɛla,tʃejɾaɾ,sɛra,tʃejɾaɾ,θɛla,tʃejɾaɾ,tʃɛɾɐ,tʃejɾaɾ,ceɾa,oleɾ,ole,oleɾ,,oleɾ,uli,oleɾ,ule,oleɾ,ule,sɑ̃tiʀ,sãntʃi,sɑ̃tiʀ,sãti,sɑ̃tiʀ,sãti,sɑ̃tiʀ,sãti,pʀɛ̃lodœʀ,pɣãlodɛ,pʀɛ̃lodœʀ,pɣãlodɛ,lodœʀ,lɔde,sɑ̃tiʀ,sãti,sɑ̃tiʀ,,sɑ̃tiʀ,sãci
smoke,fumu,fum,fumu,fum,fumu,fum,fumu,fuumu,fumu,fumə,fumu,fumu,fumu,fumu,fumu,fuma,fumu,fumɐ,fumu,fum,fumu,fma,fumu,fumu,fumu,fumɐ,,igligu,,igogo,,igigu,,iligu,fumu,fumɐ,fumu,,humaɾ,huma,umo,,umu,puma,umu,umu,umu,umu,lafyme,lafimi,bukan,bukãn,lafyme,lafimẽ,lafyme,lãfimẽ,lafyme,lafimɛ̃,lafyme,lafimɛ̃,lafyme,lafime,lafyme,lafime,lafyme,fime,lafyme,lafime
smooth,lizu,lidz,lizu,liz,lizu,,lizu,litʃiin,lizu,,lizu,,lizĩɲu,litʃiŋ,lizĩɲu,,lizu,lizu,lizu,lis,lizu,liz,lizu,lizu,lizu,lizu,lizu,,,pɔtɔpɔtɔ,,pɛtɛ,lizu,,lizu,,lizu,lisu,lizu,lizu,liso,,lisu,lisu,resβalosu,rebalosu,lisu,lisu,lis,lis,plɔ̃ʒ,plõʒ,lis,lis,lis,lis,lis,lis,lis,lis,lis,lis,lis,lis,lis,,maʀbʀe,maabɣe
snake,kɔbɾɐ,kɔb,kɔbɾɐ,kɔb,kɔbɾɐ,kɔb,kɔbɾɐ,koobeɾ,kɔbɾɐ,kɔbɾə,kɔbɾɐ,kobra,kɔbɾɐ,kobɾa,kɔbɾɐ,kobɾa,kɔbɾɐ,kɔbɾɐ,kɔbɾɐ,kobɾa,kɔbɾɐ,kɔbɾɐ,kɔbɾɐ,kobɾɐ,kɔbɾɐ,kobɾɐ,kɔbɾɐ,kɔblɔ,kɔbɾɐ,xobolo,kɔbɾɐ,kɔbɔ,,kiõgo,kɔbɾɐ,kobra,kɔbɾɐ,kobɾa,koleβɾa,kolebɾa,gwaɾðakamino,gwaddakamino,kuleβɾa,kulebɾa,kuleβɾa,kulebɾa,kuleβɾa,kulebɾa,sɛʀpɑ̃,seapã,sɛʀpɑ̃,sɛɾpã,sɛʀpɑ̃,seʁpã,sɛʀpɑ̃,sɛpã,sɛʀpɑ̃,sɛpã,sɛʀpɑ̃,sɛpã,sɛʀpɑ̃,sɛpã,sɛʀpɑ̃,seɣpã,sɛʀpɑ̃,,sɛʀpɑ̃,sɛɛpã
snow,,bəɾəf,ʒelu,dʒel,ʒelu,,ʒelu,,,ajs,,,,,nɛvi,nevi,nɛvi,nevi,nɛvɨ,nev,nɛvɨ,nɛv,nɛvi,nevi,nɛvi,nevi,nɛvi,,nɛvi,nɛvi,nɛvi,,nɛvi,,nɛβɨ,,nɛβɨ,,,snew,njeβe,,njeβi,njebi,njeβi,njebi,njeβi,,nɛʒ,,nɛʒ,nɛʒ,nɛʒ,,lanɛʒ,lanɛʒ,lanɛʒ,laglas,lanɛʒ,lanɛʒ,lanɛʒ,lãeʒ,lanɛʒ,lanez,lanɛʒ,,lanɛʒ,lãnɛz
