Gloss,Class (Bowern 2007),Portuguese,Spanish,French,Korlai,Source Korlai,Daman,Source Daman,Diu,Source Diu,Sri Lanka PT,Source Sri Lanka PT,Kannur,Source Kannur,Malacca,Source Malacca,Macao,Source Macau,Tugu/Batavia,Source Tugu/Batavia,Santiago CV,Source Santiago CV,Santo Antão CV,Source Santo Antão CV,São Vicente CV,Source São Vicente CV,Fogo CV,Source Fogo CV,Brava CV,Source Brava CV,Santome,Source Santome CV,Fá d'Ambô,Source Fá d'Ambô,Principense,Source Principense,Angolar,Source Angolar,Guinea Bissau,Source Guinea Bissau,Casamancese,Source Casamancese,Papiamento,Source Papiamento,Palenquero,Source Palenquero,Cavite Chabacano,Source Cavite Chabacano,Ternate Chabacano,Source Ternate Chabacano,Zamboanga Chabacano,Source Zamboanga Chabacano,Karipuna,Source Karipuna,Guianese,Source Guianese,Louisiana,Source Louisiana,Haitian,Source Haitian,Guadeloupean,Source Guadeloupean,Martinican,Source Martinican,Saint Lucian,Source Saint Lucian,Mauritian,Source Mauritian,Réunionese,Source Réunionese,Seychellois,Source Seychellois
fall,motion,kɐiɾ,caer,tɔ̃be,kai,Clements2011,kai,Clements2011,kai,Clements2012,kaj,Clements2012,kaj,Clements2012,kaj,BaxterSilva2004,kaj,FernandesBaxter2001,kaj,Maurer2011,kɐi,Quint1998,kej,Baptista2014,kei,Baptista2019,kai,Baptista2019,kai,Baptista2019,kje,Bandeira2017,kae,Bandeira2017,kje,Araujo2012,kje,Bandeira2017,kaj,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kaɟ,Biagui2012,kaj,JacobsHoyer2018,kai,Schwegler2000,kaj,Diccionario2008,kaji,Sippola2011,kaj,DeCastro2019,tɔ̃be,Tobler 1983,tõbe,Barthèlemi 2007,tõbe,Valdman et al. 1999,tõbe,Wittmann 1973,tɔ̃be,Barbotin & Tourenux 2000,tɔ̃be,Confiant 2007,tɔ̃be,Mondesir 1992,tõbe,Wittmann 1973,tõbe,Stein 1984,tɔ̃m,"Michaelis, Rosalie & Muhme 2009"
far,adjective,ɫõʒɨ,lejos,lwɛ̃,lɔ̃j,Clements2011,lõj,Clements2011,lõj,Clements2012,lɔːndʒi,Clements2012,lɔndʒi,Clements2012,lonzi,BaxterSilva2004,,,londʒi,Maurer2011,lõʒi,Quint1998,lõŋʒ,Baptista2019,lõʒ,Baptista2019,lõʒi,Baptista2019,lõʒi,Baptista2019,lõdʒi,Bandeira2017,lõdʒi,HagemeijerMaurer-CecchiniSegorbe2020,lõʒi,Araujo2012,lõdʒi,Bandeira2017,loɲu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,loŋɟi,Biagui2012,lew,JacobsHoyer2018,leho,Schwegler1996,lehus,Diccionario2008,lehus,Sippola2011,lehus,DeCastro2019,lweŋ,Tobler 1983,lwẽ,Barthèlemi 2007,lwẽ,Valdman et al. 1999,lwẽ,Wittmann 1973,lwɛ̃,Barbotin & Tourenux 2000,lwɛ̃,Confiant 2007,lwɛ̃,Mondesir 1992,lwẽ,Wittmann 1973,lwɛ̃,Stein 1984,lwɛ̃,"Michaelis, Rosalie & Muhme 2009"
fat,animal product,guɾduɾɐ,grasa,ɡʁɛs,,,goɾduɾ,Clements2012,,,guɾduɾa,Clements2012,,,godura,BaxterSilva2004,goɾdura,FernandesBaxter2001,goɾdu,Maurer2011,guɾduɾɐ,Quint1998,guɾduɾɐ,Baptista2014,guɾduɾɐ,Baptista2019,goɾduɾɐ,Tavares2020,guɾduɾɐ,Baptista2019,godo,AraujoHagemeijer2013,gɔdula,HagemeijerMaurer-CecchiniSegorbe2020,gudurɐ,Bandeira2017,godulɐ,Bandeira2017,guɾduɾɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,baɲ,Biagui2012,sebu,JacobsHoyer2018,,,gɾasa,Diccionario2008,gɾasa,Sippola2011,guɻduɾa,DeCastro2019,ghɛs,Tobler 1983,ɡʁɛs,Barthèlemi 2007,gɾa,Valdman et al. 1999,ɡɣɛs,Wittmann 1973,gɣa,Barbotin & Tourenux 2000,gɣa,Confiant 2007,gwɛs,Frank 2001,lagɣes,Wittmann 1973,gʀɛs,Baker 1982,lagɣes,Baker 1982
father,human,paj,padre,pɛʁ,paj,Clements2011,paj,Clements2011,paj,Clements2012,paːj,Clements2012,paj,Clements2012,paj,BaxterSilva2004,paj,FernandesBaxter2001,paj,Maurer2011,pɐj,Quint1998,pɛ,Baptista2019,paj,Baptista2019,paj,Baptista2019,paj,Baptista2019,papa,Bandeira2017,papa,Bandeira2017,papa,Araujo2012,tata,Bandeira2017,pape,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,papɛ,Biagui2012,tata,JacobsHoyer2018,tata,Schwegler2000,tata,Diccionario2008,tata,Sippola2011,tata,DeCastro2019,papa,Tobler 1983,papa,Barthèlemi 2007,papa,Valdman et al. 1999,papa,Wittmann 1973,papa,Barbotin & Tourenux 2000,papa,Confiant 2007,plim,Frank 2001,papa,Wittmann 1973,papa,Stein 1984,plim,Baker 1982
fear,perception verb,tɨmeɾ,temer,kʁɛ̃dʁ,med,Clements2012,med,Clements2012,,,mejdo,SilvaTrigo2022,,,midu,BaxterSilva2004,tɛfitɛfi,FernandesBaxter2001,,,medu,Quint1998,mɛd,Baptista2014,med,Swolkien2015,medɐ,Tavares2020,medu,Baptista2019,mɛ̃du,Bandeira2017,mɛ̃du,Bandeira2017,mɛ̃du,Araujo2012,mɛ̃du,Bandeira2017,medu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,tinmiedu,JacobsHoyer2018,,,,,se mjedu,Ocampo1947,,,pɛ,Tobler 1983,pɛ,Barthèlemi 2007,pɛɾ,Valdman et al. 1999,pɛ,Wittmann 1973,pɛ,Barbotin & Tourenux 2000,pɛ,Confiant 2007,kwɛ̃t,Mondesir 1992,peɣ,Wittmann 1973,,,pɛɛ,"Michaelis, Rosalie & Muhme 2009"
feather,animal product,penɐ,pluma,plym,pɛn,Clements2011,pɛn,Clements2011,pɛn,Clements2012,pɛːna,Clements2012,pænə,Clements2012,pena,BaxterSilva2004,pena,FernandesBaxter2001,kabelu pastəɾ,Maurer2011,pɛna,Quint1998,pena,Baptista2014,penɐ,Baptista2019,pɛnɐ,Tavares2020,penɐ,Baptista2019,pɛnɐ,Bandeira2017,pɛna,Cosme2014,penɐ,Araujo2012,penɐ,Bandeira2017,,,,,pluma,Quint2000,,,pluma,Diccionario2008,,,pluma,Camins1999,plim,Tobler 1983,plim,Barthèlemi 2007,plumã,Valdman et al. 1999,plim,Wittmann 1973,plim,Barbotin & Tourenux 2000,plim,Confiant 2007,plim,Mondesir 1992,plim,Wittmann 1973,plim,Baker 1982,laplim,"Michaelis, Rosalie & Muhme 2009"
few,quant,powku,poco,pø,pok,Clements2012,pok,Clements2012,pok,Clements2012,poku,Clements2012,pok,Clements2012,mpoku,BaxterSilva2004,,,,,poku,Quint1998,pok,Baptista2014,pok,Swolkien2015,poku,Baptista2019,poku,Baptista2019,,,,,,,,,poku,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,mbokadu,Biagui2012,poko,JacobsHoyer2018,poko,Dieck2000,poku,Diccionario2008,poku,Sippola2011,poku,DeCastro2019,tʃimoso,Tobler 1987,timoso,Barthèlemi 2007,pɛ,Valdman et al. 1999,kɛk,Wittmann 1973,cibwɛ̃,Barbotin & Tourenux 2000,cibɣɛ̃,Confiant 2007,pe,Mondesir 1992,pa buku,Wittmann 1973,ɛ̃pe,Stein 1984,pe,"Michaelis, Rosalie & Muhme 2009"
fight,impact,lutaɾ,pelear,səbatʁ,luta,Clements2011,luta,Clements2011,,,bɾiːja,Clements2012,pildʒe,Clements2012,briga,BaxterSilva2004,piliza̹,FernandesBaxter2001,baklaj,Maurer2011,bɾigɐ,Quint1998,luta,Baptista2014,bɾiga,Swolkien2015,bɾiga,Baptista2019,bɾiga,Baptista2019,luta,AraujoHagemeijer2013,pɛza,HagemeijerMaurer-CecchiniSegorbe2020,luta,Araujo2012,vugu,Cosme2014,lutɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,geɾiɟa,Biagui2012,bɾiŋa,JacobsHoyer2018,pelia,Schwegler2000,pilja,Diccionario2008,pelja,Sippola2011,piʎa,DeCastro2019,bhiga,Tobler 1983,lite,Barthèlemi 2007,bat,Valdman et al. 1999,gumẽ,Wittmann 1973,gumɛ̃,Barbotin & Tourenux 2000,gumɛ̃,Confiant 2007,bat,Mondesir 1992,lageɣ,Wittmann 1973,,,bataje,"Michaelis, Rosalie & Muhme 2009"
fingernail,body part,uɲɐ,uña,ɔ̃ɡl,,,,,,,uɲa,Callaway1820,,,uɲa,BaxterSilva2004,,,uɲa,Maurer2011,uɲɐ,Quint1998,,,uɲɐ,Swolkien2015,,,,,iɲɛ,Bandeira2017,uɲa,Bandeira2017,umuɲɐ,Araujo2012,iɲɛ,Bandeira2017,uɲɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,ɲuɲa,Biagui2012,huɲa,Quint2000,,,unjas,Diccionario2008,kunja,Ocampo1947,,,zɔŋ,Tobler 1983,zɔŋ,Barthèlemi 2007,zõŋg,Valdman et al. 1999,,,zoŋ,Barbotin & Tourenux 2000,zoŋ,Confiant 2007,gwif,Frank 2001,zoŋ,Wittmann 1973,,,gɣif,Baker 1982
fire,environment,fogu,fuego,fø,fog,Clements2011,fog,Clements2011,fog,Clements2012,foːʋ,Clements2012,fogə,Clements2012,fogu,BaxterSilva2004,fogu,FernandesBaxter2001,fogu,Maurer2011,fogu,Quint1998,lum,Baptista2014,lum,Baptista2019,lumi,Tavares2020,lumi,Baptista2019,fogo,AraujoHagemeijer2013,fugã,HagemeijerMaurer-CecchiniSegorbe2020,ufogu,Araujo2012,fogo,Cosme2014,fugu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,fugu,Biagui2012,kandela,Quint2000,fogo,Schwegler2000,pwegu,Diccionario2008,pwegu,Sippola2011,pwegu,DeCastro2019,dʒife,Tobler 1983,fe,Barthèlemi 2007,dife,Valdman et al. 1999,dife,Wittmann 1973,ɟife,Barbotin & Tourenux 2000,ɟife,Confiant 2007,dife,Frank 2001,dife,Wittmann 1973,fe,Baker 1982,ɟife,Baker 1982
