Gloss,Class (Bowern 2007),Portuguese,Spanish,French,Korlai,Source Korlai,Daman,Source Daman,Diu,Source Diu,Sri Lanka PT,Source Sri Lanka PT,Kannur,Source Kannur,Malacca,Source Malacca,Macao,Source Macau,Tugu/Batavia,Source Tugu/Batavia,Santiago CV,Source Santiago CV,Santo Antão CV,Source Santo Antão CV,São Vicente CV,Source São Vicente CV,Fogo CV,Source Fogo CV,Brava CV,Source Brava CV,Santome,Source Santome CV,Fá d'Ambô,Source Fá d'Ambô,Principense,Source Principense,Angolar,Source Angolar,Guinea Bissau,Source Guinea Bissau,Casamancese,Source Casamancese,Papiamento,Source Papiamento,Palenquero,Source Palenquero,Cavite Chabacano,Source Cavite Chabacano,Ternate Chabacano,Source Ternate Chabacano,Zamboanga Chabacano,Source Zamboanga Chabacano,Karipuna,Source Karipuna,Guianese,Source Guianese,Louisiana,Source Louisiana,Haitian,Source Haitian,Guadeloupean,Source Guadeloupean,Martinican,Source Martinican,Saint Lucian,Source Saint Lucian,Mauritian,Source Mauritian,Réunionese,Source Réunionese,Seychellois,Source Seychellois
fish,animal,pejʃɨ,"pez, pescado",pwasõ,peʃ,Clements2011,peʃ,Clements2011,peʃ,Clements2012,peːsi,Clements2012,peʃi,Clements2012,pesi,BaxterSilva2004,pese,FernandesBaxter2001,,,peʃi,Quint1998,peʃ,Baptista2014,peʃ,Baptista2019,peʃi,Baptista2019,peʃi,Baptista2019,piʃi,Bandeira2017,piʃi,Bandeira2017,peʃi,Araujo2012,kikie,Bandeira2017,pis,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,pis,Biagui2012,piska,Quint2000,pekkaw,Schwegler2000,peskaw,Diccionario2008,peskaw,Sippola2011,piskaw,DeCastro2019,pwasõ,Tobler 1983,posõ,Barthèlemi 2007,pwasõ,Valdman et al. 1999,pwesõ,Wittmann 1973,pwasɔ̃,Barbotin & Tourenux 2000,pwesɔ̃,Confiant 2007,pwesõ,Frank 2001,posõ,Wittmann 1973,pwasɔ̃,Baker 1982,pwasɔ̃,Baker 1982
five,quant,sĩku,cinco,sɛ̃k,sink,Clements2011,sink,Clements2011,sĩk,Clements2012,siːnku,Clements2012,sinkə,Clements2012,siŋku,BaxterSilva2004,sinku,FernandesBaxter2001,siŋku,Maurer2011,sĩku,Quint1998,sĩŋk,Baptista2014,sĩk,Baptista2019,sĩku,Baptista2019,sĩku,Baptista2019,ʃĩku,Bandeira2017,ʃĩku,Bandeira2017,ʃĩku,Araujo2012,tano,Bandeira2017,sĩku,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,siɲku,Biagui2012,sinku,JacobsHoyer2018,siŋko,Mercado2026,siŋku,Diccionario2008,siŋku,Sippola2011,siŋku,Camins1999,sɛ̃ŋk,Tobler 1983,sẽk,Barthèlemi 2007,sẽk,Valdman et al. 1999,sẽk,Wittmann 1973,sɛ̃k,Barbotin & Tourenux 2000,sɛ̃k,Confiant 2007,sɛ̃k,Mondesir 1992,sẽk,Wittmann 1973,,,sɛ̃k,"Michaelis, Rosalie & Muhme 2009"
float,motion,flutwaɾ,flotar,flɔte,taɾtahika,Clements2012,nada,Clements2012,,,nada,Clements2012,"
agsuɾibətəʋaj",Clements2012,boja,BaxterSilva2004,,,,,boja,Baptista2019,boja,Baptista2019,boja,Baptista2019,boja,Baptista2019,boja,Baptista2019,bɔja,AraujoHagemeijer2013,bɔja,Cosme2014,bɔja,Cosme2014,bɔja,Cosme2014,,,boɟa,Biagui2012,dɾif,JacobsHoyer2018,,,,,lutaŋ,Sippola2011,,,flote,Tobler 1987,flote,Barthèlemi 2007,flote,Valdman et al. 1999,flote,Wittmann 1973,flote,Barbotin & Tourenux 2000,flote,Confiant 2007,flote,Mondesir 1992,flote,Wittmann 1973,,,flote,"Michaelis, Rosalie & Muhme 2009"
flow,motion,flwiɾ,fluir,kule,wahunanda,Clements2012,ʋaza,Clements2012,ʋaza,Clements2012,,,,,kure,BaxterSilva2004,,,,,koɾe,Baptista2019,kɾe,Baptista2019,koʀe,Baptista2019,koɾe,Baptista2019,koɾe,Baptista2019,koleselele,AraujoHagemeijer2013,,,,,,,daɾmɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,koɾe,JacobsHoyer2018,,,,,,,,,,,kule,Barthèlemi 2007,kule,Valdman et al. 1999,kule,Wittmann 1973,kule,Barbotin & Tourenux 2000,kule,Confiant 2007,kule,Mondesir 1992,kule,Wittmann 1973,kule,Staudacher-Valliamee 2001,kule,"Michaelis, Rosalie & Muhme 2009"
flower,environment,floɾ,flor,flœʁ,ful,Clements2011,floɾ,Clements2011,floɾ,Clements2012,fuːla,Clements2012,fula,Clements2012,floris,BaxterSilva2004,fula,FernandesBaxter2001,fula,Maurer2011,flɔɾ,Quint1998,floɾ,Baptista2019,floɾ,Baptista2019,floɾ,Baptista2019,floɾ,Baptista2019,flɔli,Bandeira2017,fɔːl,Bandeira2017,ufɔli,Araujo2012,fɔli,Bandeira2017,flur,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,flor,Biagui2012,floɾ,JacobsHoyer2018,flo,Moñino2002,ploɾes,Diccionario2008,ploɾ,Sippola2011,ploɾis,DeCastro2019,butʃe,Tobler 1983,flɛʁ,Barthèlemi 2007,flɛ,Valdman et al. 1999,flɛ,Wittmann 1973,flɛ,Barbotin & Tourenux 2000,flɛ,Confiant 2007,flɛ,Mondesir 1992,fleɣ,Wittmann 1973,,,flɛɛ,"Michaelis, Rosalie & Muhme 2009"
fly (v.),motion,vwaɾ,volar,vɔle,awga,Clements2011,agwa,Clements2011,uʋa,Clements2012,awgaː,Clements2012,agwə,Clements2012,abwa,BaxterSilva2004,agua̹,FernandesBaxter2001,aboa,Maurer2011,buɐ,Quint1998,vwɐ,Baptista2019,vwɐ,Baptista2019,bwɐ,Tavares2020,bwa,Baptista2019,vwa,AraujoHagemeijer2013,vwa,HagemeijerMaurer-CecchiniSegorbe2020,vwa,Araujo2012,pupuka,Cosme2014,boa,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,buwa,Biagui2012,bula,Quint2000,,,bula,Escalante2005,bula,Sippola2011,bula,Camins1999,vole,Tobler 1983,,,vole,Valdman et al. 1999,vole,Wittmann 1973,vole,Barbotin & Tourenux 2000,vole,Confiant 2007,vole,Frank 2001,ãvole,Wittmann 1973,vole,Baker 1982,vole,Baker 1982
fog,environment,nɨvwejɾu,niebla,bʁujaʁ,fumas,Clements2011,oɾvaʎ,Clements2011,uʋa,Clements2012,uɾuʋajːa,Clements2012,fog,Clements2012,,,,,,,nɛgwɐ,Quint1998,nevweɾ,Baptista2019,nevweɾ,Baptista2019,nɛbɐ,Baptista2019,nɛbɐ,Baptista2019,neblina,AraujoHagemeijer2013,,,lubina,Araujo2012,,,sɨɾen,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,nebli,JacobsHoyer2018,,,,,,,,,lafime,Tobler 1987,,,bɾujaɾ,Valdman et al. 1999,bɣuja,Wittmann 1973,bwuja,Barbotin & Tourenux 2000,bwuja,Confiant 2007,vape,Mondesir 1992,bɣujaɣ,Wittmann 1973,,,bɣujaa,"Michaelis, Rosalie & Muhme 2009"
foot,body part,pɛ,pie,pje,pe,Clements2011,pe,Clements2011,pe,Clements2012,peː,Clements2012,pɛ,Clements2012,pew,BaxterSilva2004,pe,FernandesBaxter2001,pew,Maurer2011,pɛ,Quint1998,pe,Baptista2019,pe,Baptista2019,pe,Baptista2019,pe,Baptista2019,ɔpɛ,Bandeira2017,ɔpɛ,Bandeira2017,ɔpɛ,Araujo2012,ɔpɛ,Bandeira2017,pɛ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,pe,Biagui2012,pija,Quint2000,pje,Schwegler2000,pjes,Diccionario2008,pjes,Sippola2011,pjes,DeCastro2019,pje,Tobler 1983,pje,Barthèlemi 2007,pje,Valdman et al. 1999,pje,Wittmann 1973,pie,Barbotin & Tourenux 2000,pje,Confiant 2007,pje,Frank 2001,lipie,Wittmann 1973,pje,Baker 1982,lipje,Baker 1982
forest,environment,fluɾɛʃtɐ,bosque,fɔʁɛ,,,,,,,matu,Callaway1820,,,matu,BaxterSilva2004,,,matu,Maurer2011,matu,Quint1998,mot,Baptista2014,,,,,,,obo,AraujoHagemeijer2013,ogo,Cosme2014,matu,Araujo2012,obo,Cosme2014,matu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,matu,Biagui2012,matu,Jacobs2012,monde,Mercado2026,,,bondok,Sippola2011,monti,Camins1999,dãmbwa,Tobler 1983,,,bwa,Valdman et al. 1999,,,gɣãbwa,Barbotin & Tourenux 2000,gɣãbwa,Confiant 2007,lafowe,Mondesir 1992,lafoɣe,Wittmann 1973,foʀe,Stein 1984,foɣe,"Michaelis, Rosalie & Muhme 2009"
four,quant,kwatɾu,cuatro,katʁ,kwat,Clements2012,kɔt,Clements2012,kwɔt,Clements2012,katɾu,Clements2012,katɾə,Clements2012,kwatu,BaxterSilva2004,katɾu,FernandesBaxter2001,käteɾ,Maurer2011,kwatu,Quint1998,kwat,Baptista2014,kwat,Swolkien2015,kwatu,Tavares2020,kwatu,Baptista2019,kwatlu,Bandeira2017,xatulu,Bandeira2017,kwatu,Araujo2012,kwanɐ,Bandeira2017,kwɐtɾu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kwatur,Biagui2012,kwateɾ,JacobsHoyer2018,kwatɾo,Schwegler1996,kwatɾu,Diccionario2008,kwatɾu,Sippola2011,,,kat,Tobler 1983,kat,Barthèlemi 2007,kat,Valdman et al. 1999,kat,Wittmann 1973,kat,Barbotin & Tourenux 2000,kat,Confiant 2007,kat,Mondesir 1992,kat,Wittmann 1973,kat,Stein 1984,kat,"Michaelis, Rosalie & Muhme 2009"
freeze,environment,kõʒɨlaɾ,"congelarse, helar",ʒəle,bəɾəfhika,Clements2012,fikadʒel,Clements2012,fikadʒel,Clements2012,,,fɾiːz,Clements2012,,BaxterSilva2004,,,,,ʒelɐ,Baptista2019,ʒela,Baptista2019,ʒela,Baptista2019,ʒelɐ,Baptista2019,ʒela,Baptista2019,,,,,,,,,,,,,fɾis,JacobsHoyer2018,,,ela,Diccionario2008,,,,,kõʒele,Carvalho et al. 2022,kõʒle,Barthèlemi 2007,fɾedi,Valdman et al. 1999,ʒele,Wittmann 1973,glase,Barbotin & Tourenux 2000,glase,Confiant 2007,glasi,Mondesir 1992,kõzele,Wittmann 1973,,,,"Michaelis, Rosalie & Muhme 2009"
fruit,environment,fɾutɐ,fruta,fʁɥi,fɾujt,Clements2011,fɾut,Clements2011,fuɾt,Clements2012,fɾʋiːta,Clements2012,fɾutɛ,Clements2012,fruta,BaxterSilva2004,fɾuta,FernandesBaxter2001,fɾuta,Maurer2011,fɾutɐ,Quint1998,fɾutɐ,Baptista2019,fɾutɐ,Baptista2019,fɾuta,Baptista2019,fɾuta,Baptista2019,fluta,AraujoHagemeijer2013,fulutu,HagemeijerMaurer-CecchiniSegorbe2020,futa,Araujo2012,,,fɾutɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,fruta,Biagui2012,fɾuta,JacobsHoyer2018,fɾuta,Dieck2000,pɾuta,Diccionario2008,pɾutas,Sippola2011,pɾuta,DeCastro2019,fw̥i,Tobler 1983,fʁi,Barthèlemi 2007,fɾi,Valdman et al. 1999,fwi,Wittmann 1973,fwi,Barbotin & Tourenux 2000,fwi,Confiant 2007,fwi,Mondesir 1992,fɣi,Wittmann 1973,vaʀãg,Staudacher-Valliamee 2001,fɣi,"Michaelis, Rosalie & Muhme 2009"
full,adjective,ʃeju,lleno,plɛ̃,itʃid,Clements2012,intʃid,Clements2012,ʃej,Clements2012,intʃidu,Clements2012,intʃid,Clements2012,tʃew,BaxterSilva2004,intʃidu,FernandesBaxter2001,intʃi,Maurer2011,tʃew,Quint1998,tʃew,Baptista2014,tʃew,Swolkien2015,ʃeju,Tavares2020,tʃeu,Baptista2019,ʃa,AraujoHagemeijer2013,ʃia,Cosme2014,ʃadu,Araujo2012,sia,Cosme2014,ĩtʃɨ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,ɟiɲci,Biagui2012,jen,Quint2000,ɲiɾilo,Mercado2026,ljenu,Diccionario2008,jenu,Sippola2011,jenu,DeCastro2019,plɛ̃,Tobler 1983,plẽ,Barthèlemi 2007,plẽ,Valdman et al. 1999,,,plɛ̃,Barbotin & Tourenux 2000,plɛ̃,Confiant 2007,plɛ̃,Frank 2001,plẽ,Wittmann 1973,plɛ̃,Baker 1982,plɛ̃,Baker 1982
give,transfer,daɾ,dar,dɔne,da,Clements2011,da,Clements2011,da,Clements2012,daː,Clements2012,da,Clements2012,da,BaxterSilva2004,da̹,FernandesBaxter2001,da,Maurer2011,dɐ,Quint1998,da,Baptista2019,da,Baptista2019,dɐ,Tavares2020,da,Baptista2019,da,Bandeira2017,da,Bandeira2017,da,Araujo2012,da,Bandeira2017,da,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,da,Biagui2012,duna,Quint2000,nda,Dieck2000,dali,Diccionario2008,dali,Sippola2011,dali,DeCastro2019,baj,Tobler 1983,ba,Barthèlemi 2007,dõne,Valdman et al. 1999,ba,Wittmann 1973,ba,Barbotin & Tourenux 2000,ba,Confiant 2007,baj,Frank 2001,done,Wittmann 1973,done,Baker 1982,done,Baker 1982
good,adjective,bõ,bueno,bɔ̃,,,bõ,Clements2011,bõ,Clements2012,boːm,Clements2012,bɔ̃,Clements2012,boŋ,BaxterSilva2004,boŋ,FernandesBaxter2001,boŋ,Maurer2011,bõ,Quint1998,bõ,Baptista2014,bõ,Baptista2019,bõ,Baptista2019,bõ,Baptista2019,bõ,AraujoHagemeijer2013,bɔ̃,HagemeijerMaurer-CecchiniSegorbe2020,bõ,Araujo2012,bo,Cosme2014,bõŋ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,bõ,Biagui2012,bõ,Quint2000,bjen,Schwegler2000,bwenu,Diccionario2008,bwenu,Sippola2011,bwenu,DeCastro2019,bɔ̃,Tobler 1983,bõ,Barthèlemi 2007,bõ,Valdman et al. 1999,bõ,Wittmann 1973,bɔ̃,Barbotin & Tourenux 2000,bɔ̃,Confiant 2007,bɔ̃,Frank 2001,bon,Wittmann 1973,bɔ̃,Baker 1982,bɔ̃,Baker 1982
grass,environment,ɛɾvɐ,"hierba, grama, zacate",ɛʁb,pal,Clements2012,paʎ,Clements2012,ɛɾʋ,Clements2012,ɛːɾʋa,Clements2012,gɾasə,Clements2012,ɛbra,BaxterSilva2004,,,eɾba,Maurer2011,padʒɐ,Baptista2019,mɔt,Baptista2019,eɾvɐ,Baptista2019,eɾvɐ,Baptista2019,eɾvɐ,Baptista2019,alibɐ,Bandeira2017,alba,Bandeira2017,aribɐ,Araujo2012,iku,Bandeira2017,paʎɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,paɟa,Biagui2012,jeɾba,JacobsHoyer2018,,,sakati,Diccionario2008,sakati,Sippola2011,sakati,DeCastro2019,hadʒe,Tobler 1983,ʁadʒe,Barthèlemi 2007,lɛɾb,Valdman et al. 1999,zɛb,Wittmann 1973,zɛb,Barbotin & Tourenux 2000,zeb,Confiant 2007,zɛb,Mondesir 1992,leɣb,Wittmann 1973,,,lɛɛb,"Michaelis, Rosalie & Muhme 2009"
green,colour,veɾdɨ,verde,vɛʁ,ʋɛɾd,Clements2011,ʋɛɾd,Clements2011,ʋeɾd,Clements2012,ʋeːɾdi,Clements2012,ʋɛɾdi,Clements2012,bedri,BaxterSilva2004,veɾde,FernandesBaxter2001,beɾdi,Maurer2011,beɾdi,Quint1998,veɾd,Baptista2014,veɾd,Baptista2019,beɾdi,Baptista2019,veɾdi,Baptista2019,vede,Bandeira2017,veːdʒi,Bandeira2017,vede,Araujo2012,vedi,Bandeira2017,veɾdɪ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,berdu,Biagui2012,bɛɾdɛ,Quint2000,bitʃe,Estrada2005,beɾdi,Diccionario2008,beɾdi,Sippola2011,beɻdi,DeCastro2019,vjat,Tobler 1983,vɛʁ,Barthèlemi 2007,vɛɾ,Valdman et al. 1999,vɛt,Wittmann 1973,vɛ,Barbotin & Tourenux 2000,vɛ,Confiant 2007,vɛt,Frank 2001,veɣ,Wittmann 1973,vɛɛ,Baker 1982,vɛɛ,Baker 1982
guts,body part,tɾipɐʃ,tripas,"ɑ̃tʁɑj, ɛ̃tɛstɛ̃",tɾĩp,Clements2011,tɾip,Clements2011,tɾip,Clements2012,tɾipa,Clements2012,tɾipə,Clements2012,,,tɾipa,FernandesBaxter2001,tɾipa,Maurer2011,tɾipɐ,Quint1998,tɾipɐ,Baptista2019,tɾipɐ,Baptista2019,tɾipɐ,Baptista2019,tɾipɐ,Baptista2019,tlipa,AraujoHagemeijer2013,tʃiːpa,HagemeijerMaurer-CecchiniSegorbe2020,tʃipa,Araujo2012,malɐ,Bandeira2017,tɾipɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,tɾipa,JacobsHoyer2018,tɾipa,Dieck2000,tripa,Diccionario2008,,,tɾipa,DeCastro2019,thip,Tobler 1987,tʁip,Barthèlemi 2007,letɾip,Valdman et al. 1999,tɣip,Wittmann 1973,zãtɣaj,Barbotin & Tourenux 2000,zãtɣaj,Confiant 2007,bojo,Mondesir 1992,tɣip,Wittmann 1973,tʀip,Staudacher-Valliamee 2001,zɛ̃testɛ̃,"Michaelis, Rosalie & Muhme 2009"
hair,body part,kɐbelu,"pelo, cabello",ʃəvø,kabel,Clements2011,kabil,Clements2011,kabel,Clements2012,kabeːl,Clements2012,kabeli,Clements2012,kabelu,BaxterSilva2004,kabelu,FernandesBaxter2001,kabelu,Maurer2011,kɐbelu,Quint1998,kebel,Baptista2014,kɐbel,Baptista2019,kɐbel,Tavares2020,kabelu,Baptista2019,kabelu,Bandeira2017,xabɛlu,Bandeira2017,kabɛlu,Araujo2012,kabelu,Bandeira2017,kabelʊ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kabelu,Biagui2012,kabej,Quint2000,kabew,Mercado2026,pelu,Diccionario2008,pelu,Sippola2011,pelu,DeCastro2019,ʃive,Tobler 1987,ʃive,Barthèlemi 2007,ʃve,Valdman et al. 1999,ʃive,Wittmann 1973,ʃive,Barbotin & Tourenux 2000,ʃive,Confiant 2007,ʃive,Frank 2001,seve,Wittmann 1973,seve,Baker 1982,seve,Baker 1982
hand,body part,mɐ̃w̃,mano,mɛ̃,mãw,Clements2011,mãw,Clements2011,mãw,Clements2012,mam,Clements2012,mɔ̃,Clements2012,maŋ,BaxterSilva2004,ma̜ŋ,FernandesBaxter2001,maw,Maurer2011,mo,Quint1998,mõ,Baptista2014,mõ,Swolkien2015,mõ,Tavares2020,mõ,Baptista2019,mõ,AraujoHagemeijer2013,omã,HagemeijerMaurer-CecchiniSegorbe2020,umã,Araujo2012,mo,Bandeira2017,mõ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,moŋ,Biagui2012,mã,Quint2000,mano,Schwegler2000,manu,Diccionario2008,manu,Sippola2011,manu,DeCastro2019,lame,Tobler 1983,lamẽ,Barthèlemi 2007,lamẽ,Valdman et al. 1999,mẽ,Wittmann 1973,lãmɛ̃,Barbotin & Tourenux 2000,lãmɛ̃,Confiant 2007,lãmɛ̃,Frank 2001,lamẽ,Wittmann 1973,mɛ̃,Baker 1982,lamɛ̃,Baker 1982
he/she,pro,elɨ,"él, ella","il, ɛl",el,Clements2011,il,Clements2011,el,Clements2012,eli,Clements2012,eli,Clements2012,eli,BaxterSilva2004,ele,FernandesBaxter2001,eli,Maurer2011,e,Quint1998,el,Baptista2014,el,Baptista2019,e,Baptista2019,e,Baptista2019,ele,Bandeira2017,eli,Bandeira2017,eli,Araujo2012,ele,Bandeira2017,ɛɬ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,ɟel,Biagui2012,e,JacobsHoyer2018,e,Schwegler2000,eli,Diccionario2008,eli,Sippola2011,eli,DeCastro2019,li,Tobler 1983,i,Barthèlemi 2007,li,Valdman et al. 1999,li,Wittmann 1973,i,Barbotin & Tourenux 2000,i,Confiant 2007,li,Mondesir 1992,li,Wittmann 1973,li,Stein 1984,i,"Michaelis, Rosalie & Muhme 2009"
head,body part,kɐbesɐ,cabeza,tɛt,kabes,Clements2011,kabes,Clements2011,kabes,Clements2012,kaʋasa,Clements2012,kabesə,Clements2012,kabesa,BaxterSilva2004,kabesa,FernandesBaxter2001,kabesa,Maurer2011,kɐbɛsɐ,Quint1998,kebɛsa,Baptista2019,kɐbɛsɐ,Baptista2019,kɐbɛsɐ,Tavares2020,kabɛsa,Baptista2019,kabesɐ,Bandeira2017,xabɛsa,Bandeira2017,kabɛsɛ,Araujo2012,nte,Bandeira2017,kabesɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kabisa,Biagui2012,kabes,Quint2000,kabesa,Moñino2002,kabesa,Diccionario2008,kabesa,Sippola2011,kabesa,DeCastro2019,tɛt,Tobler 1983,tɛt,Barthèlemi 2007,latɛt,Valdman et al. 1999,tɛt,Wittmann 1973,tɛt,Barbotin & Tourenux 2000,tɛt,Confiant 2007,tɛt,Frank 2001,latet,Wittmann 1973,latɛt,Baker 1982,latet,Baker 1982
hear,perception verb,owviɾ,oír,ɑ̃tɑ̃dʁ,oʋi,Clements2011,uʋi,Clements2011,uʋi,Clements2012,oʋiː,Clements2012,oi,Clements2012,ubi,BaxterSilva2004,uvi,FernandesBaxter2001,obi,Maurer2011,obi,Quint1998,uvi,Baptista2014,uvi,Baptista2019,obi,Baptista2019,ubi,Baptista2019,tẽde,Bandeira2017,tẽde,Bandeira2017,tẽde,Araujo2012,vakɐ̃na,Bandeira2017,obi,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,sukta,Biagui2012,tende,Quint2000,kutʃa,BickertonEscalante1970,oi,Diccionario2008,uwi,Sippola2011,oi,DeCastro2019,tãde,Tobler 1983,tãde,Barthèlemi 2007,ekute,Valdman et al. 1999,tãde,Wittmann 1973,tãn,Barbotin & Tourenux 2000,tãn,Confiant 2007,tãn,Frank 2001,tãde,Wittmann 1973,ãtã,Baker 1982,tã,Baker 1982
heart,body part,kuɾɐsɐ̃w̃,corazón,kœʁ,koɾsãw,Clements2011,kuɾəsãw,Clements2011,kuɾəsãw,Clements2012,koɾsam,Clements2012,koɾso,Clements2012,korsaŋ,BaxterSilva2004,korasa̜ŋ,FernandesBaxter2001,koɾasaŋ,Maurer2011,koɾɐsõ,Quint1998,kɾosõ,Baptista2014,koɾasõ,Baptista2019,kuɾɐsɐ̃,Tavares2020,koɾasõ,Baptista2019,klɔsɔ̃,AraujoHagemeijer2013,kuːsã,HagemeijerMaurer-CecchiniSegorbe2020,kosã,Araujo2012,kɔθɔ,Bandeira2017,kuɾɐsõ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kɔɾsɔŋ,Biagui2012,kuɾasõ,Quint2000,kolaso,Schwegler2000,kurason,Diccionario2008,kurason,Sippola2011,kurason,DeCastro2019,tʃɔ,Tobler 1983,tʃɔ,Barthèlemi 2007,kɛɾ,Valdman et al. 1999,kɛ,Wittmann 1973,cɛ,Barbotin & Tourenux 2000,cɛ,Confiant 2007,tʒɛ,Frank 2001,lekeɣ,Wittmann 1973,kɛɛ,Baker 1982,lekɛɛ,Baker 1982
heavy,adjective,pɨzadu,pesado,luʁ,pedzad,Clements2011,pezad,Clements2011,pezad,Clements2012,pezaːdu,Clements2012,pezad,Clements2012,pezadu,BaxterSilva2004,,,fedʒidu,Maurer2011,pisadu,Quint1998,pezɔd,Baptista2019,pezɔd,Baptista2019,pizadu,Tavares2020,pizadu,Baptista2019,,,pizadu,HagemeijerMaurer-CecchiniSegorbe2020,kwadu,Araujo2012,,,pizadu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,pisadu,Biagui2012,pisa,JacobsHoyer2018,,,pisaw,Diccionario2008,pisaw,Sippola2011,pisaw,DeCastro2019,pezã,Tobler 1983,lu,Barthèlemi 2007,luɾ,Valdman et al. 1999,lu,Wittmann 1973,lu,Barbotin & Tourenux 2000,lu,Confiant 2007,lu,Mondesir 1992,luɣ,Wittmann 1973,,,luu,"Michaelis, Rosalie & Muhme 2009"
here,pro,ɐki,"aquí, acá",isi,aki,Clements2011,aqui,Clements2011,aki,Clements2012,akiː,Clements2012,ɛki,Clements2012,naki,BaxterSilva2004,aki,FernandesBaxter2001,aki,Maurer2011,li,Quint1998,ej,Baptista2014,li,Baptista2019,li,Baptista2019,li,Baptista2019,nai,AraujoHagemeijer2013,jaj,HagemeijerMaurer-CecchiniSegorbe2020,ka,Araujo2012,iŋe,Cosme2014,li,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,li,Biagui2012,aki,Quint2000,aki,Schwegler2000,aki,Diccionario2008,aki,Sippola2011,aki,DeCastro2019,isila,Tobler 1983,isi,Barthèlemi 2007,isit,Valdman et al. 1999,isit,Wittmann 1973,isi,Barbotin & Tourenux 2000,isi a,Confiant 2007,isi,Mondesir 1992,isi,Wittmann 1973,isi,Stein 1984,isi,"Michaelis, Rosalie & Muhme 2009"
hit,impact,bɐteɾ,golpear,fʁape,dal,Clements2012,bate,Clements2011,bate,Clements2012,daːi,SilvaTrigo2022,,,dali,BaxterSilva2004,ziŋgwa̹,FernandesBaxter2001,fajtoka,Maurer2011,kõku,Quint1998,kũŋki,Baptista2014,dɐ,Baptista2019,bate,Baptista2019,bate,Baptista2019,bate,Bandeira2017,bate,Bandeira2017,bate,Araujo2012,bate,Bandeira2017,sutɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,suta,Biagui2012,bati,JacobsHoyer2018,goppea,Mercado2026,gulpja,Diccionario2008,gulpja,Sippola2011,piga,DeCastro2019,bat,Tobler 1983,bat,Barthèlemi 2007,fɾape,Valdman et al. 1999,fɣape,Wittmann 1973,ba ku,Barbotin & Tourenux 2000,"ba ku, ba cok",Confiant 2007,fwape,Mondesir 1992,bate,Wittmann 1973,don,Staudacher-Valliamee 2001,fɣape,"Michaelis, Rosalie & Muhme 2009"
